candidate_id,window_id,subject_id,activity_id,activity_name,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28,value_29,value_30,value_31,value_32,value_33,value_34,value_35,value_36,value_37,value_38,value_39,value_40,value_41,value_42,value_43,value_44,value_45,value_46,value_47,value_48,value_49,value_50,value_51,value_52,value_53
0,5060,108,2,sitting,0.0114,1.2978,-0.0343,0.1041,0.3623,1.1189,0.2164,-0.0432,-0.0261,0.0254,0.0103,-0.0273,-0.0214,0.0005,0.0114,0.024,0.018,-0.0336,0.311,-0.043,-0.553,-0.005,-0.0049,-0.0269,1.3179,0.0052,0.0226,-0.0386,-0.0037,0.0074,-0.1742,-0.0253,-0.0021,-0.0532,-0.0209,-0.011,-0.003,-0.5826,-0.0114,1.4713,-0.0028,-0.0147,0.024,0.3963,0.0019,0.0054,0.0228,0.0083,0.0117,-0.0037,0.0236,-0.0384,-0.0126,0.0021
1,5061,108,2,sitting,0.0043,1.2348,-0.0089,0.1766,0.4064,1.0156,0.3664,0.0114,-0.0109,0.0024,0.0081,-0.0272,-0.0262,-0.0016,0.0037,0.0279,0.0172,0.0008,0.4155,0.0002,-0.5307,-0.0071,-0.0067,0.0272,2.0871,0.0213,-0.0071,-0.0122,0.0133,-0.018,-0.1253,-0.0179,-0.0022,-0.0144,0.0157,0.0128,-0.0036,-0.5247,-0.0097,1.4689,-0.0024,-0.0163,0.006,0.3987,0.01,0.0008,0.0221,0.0056,0.0213,0.0035,0.0216,-0.0337,-0.0107,0.0043
2,5062,108,2,sitting,0.0052,1.3245,-0.0171,0.1806,0.4574,1.317,0.4223,0.0055,0.0068,0.0199,0.0133,-0.0099,-0.0293,0.005,0.0146,0.0257,0.0171,0.0018,0.3075,-0.0226,-0.5275,-0.0047,0.0045,-0.0055,1.1006,-0.0215,-0.0007,-0.0161,0.0201,0.0123,-0.1539,-0.0318,-0.0586,-0.0102,-0.0039,-0.0066,-0.001,-0.3242,-0.0076,1.0532,-0.0096,-0.0114,0.0133,0.3771,0.0106,-0.0024,0.023,-0.004,0.0181,0.0062,0.0258,-0.0362,-0.0111,0.0012
3,5063,108,2,sitting,0.0038,1.2538,-0.0227,0.0773,0.3054,1.048,0.3157,0.017,0.0069,0.0172,0.0117,0.0047,-0.031,-0.0035,0.0122,0.023,0.0181,0.0018,0.4433,0.0054,-0.5736,-0.0022,0.0054,-0.042,2.0133,-0.0214,0.0249,-0.0187,-0.0018,-0.0136,-0.1702,-0.0288,-0.0158,-0.0455,-0.0041,-0.0009,-0.0046,-0.4518,-0.0052,1.4998,-0.0106,-0.0106,-0.0106,0.4696,0.015,0.0075,0.0267,-0.0103,0.018,-0.004,0.0154,-0.0357,-0.0108,0.0025
4,5064,108,2,sitting,0.0022,1.3583,-0.0228,0.1712,0.5149,1.3176,-0.1697,-0.0083,0.0113,0.0015,0.0109,-0.0056,-0.0223,0.0041,0.0089,0.0222,0.0162,0.0016,0.387,-0.0205,-0.5711,-0.0073,0.0028,-0.021,0.9588,-0.0011,-0.0118,-0.0045,0.0045,0.0063,-0.1547,-0.0314,-0.007,-0.0101,-0.0273,0.0028,-0.0063,-0.5376,-0.0094,1.6549,-0.013,-0.0104,0.0245,0.4168,0.0214,0.0075,0.0274,0.0057,0.0194,0.0126,0.0124,-0.0377,-0.0114,0.0034
5,5065,108,2,sitting,0.0043,1.3146,-0.0129,0.1231,0.3482,1.1382,-0.2604,0.0167,-0.0057,0.0232,0.0141,-0.0014,-0.0195,0.0061,0.0046,0.028,0.0155,0.0101,-0.0901,0.0254,-0.4902,-0.0024,-0.0013,-0.0113,1.2237,-0.0219,0.0317,-0.0073,0.0061,0.0033,-0.1873,-0.0138,-0.041,0.0036,-0.0024,0.0146,-0.0021,-0.3446,-0.006,1.6546,-0.0051,-0.0172,0.0087,0.4891,0.0154,-0.0144,0.0136,0.0027,0.0244,0.0008,0.0224,-0.0369,-0.0102,0.0068
6,5066,108,2,sitting,0.0085,1.2455,-0.0172,0.1289,0.3234,1.0358,0.5798,-0.0265,-0.0146,0.002,0.0046,0.0054,-0.0288,0.0049,0.0108,0.0229,0.0179,-0.0067,0.3328,0.0031,-0.5428,-0.0102,0.0022,-0.0125,0.9728,0.012,0.0243,0.0206,0.0013,0.0062,-0.1973,0.0055,-0.0575,0.0035,-0.0132,0.0014,-0.0036,-0.5688,-0.0104,1.6651,0.0003,-0.0183,-0.0057,0.4034,0.0071,0.0048,0.0213,0.0023,0.016,0.0076,0.0158,-0.0345,-0.0106,0.002
7,5067,108,2,sitting,0.0124,1.2842,-0.0116,0.1141,0.3523,1.0432,0.3519,0.0022,0.0074,0.0134,0.0114,-0.0123,-0.0306,0.002,0.0074,0.0294,0.018,0.0008,0.2252,0.0008,-0.4762,-0.0021,0.0017,-0.0461,1.1862,-0.0384,0.0326,0.031,0.0082,-0.0177,-0.1516,-0.0236,-0.0523,0.0127,0.0218,0.0082,-0.0052,-0.3633,-0.0123,1.4717,-0.0132,-0.0083,0.0253,0.4226,0.0024,0.0036,0.0286,-0.0002,0.019,0.0029,0.0183,-0.0359,-0.0132,0.0024
9,5069,108,2,sitting,0.0115,1.2804,-0.0044,0.1666,0.4071,1.0973,-0.414,-0.0113,-0.0106,0.0121,0.007,-0.0133,-0.0326,-0.0008,0.0137,0.0293,0.0181,0.0128,0.4773,0.0031,-0.5507,-0.0019,-0.0033,-0.0237,1.1527,-0.0036,0.0085,0.0251,0.0286,-0.022,-0.1626,-0.0233,-0.032,-0.0202,-0.0207,0.0117,-0.0054,-0.3501,-0.009,0.7891,0.0002,-0.0187,-0.009,0.404,0.0096,-0.0027,0.0226,-0.0027,0.0194,0.0056,0.0133,-0.0374,-0.0123,0.0045
10,5070,108,2,sitting,0.022,1.1817,-0.0036,0.2313,0.6428,1.2029,-0.0663,0.028,-0.0101,0.0089,0.0046,-0.0102,-0.0198,0.0052,0.0078,0.0297,0.0227,0.0001,0.3773,0.0065,-0.5671,0.0017,0.0065,0.0055,0.8963,0.0105,-0.018,-0.0121,-0.0123,0.0043,-0.1653,-0.0198,-0.0095,-0.0185,-0.0166,-0.0234,-0.0034,-0.5434,-0.0106,1.4435,0.004,-0.014,0.0122,0.5162,0.0122,0.0111,0.0272,-0.0059,0.0202,-0.0072,0.0266,-0.0342,-0.0137,0.0037
