candidate_id,missing_numeric_fields,missing_columns,parsed_numeric_fields,filter_reason
0,0,[],54,kept
1,0,[],54,kept
2,0,[],54,kept
3,0,[],54,kept
4,0,[],54,kept
5,0,[],54,kept
6,0,[],54,kept
7,0,[],54,kept
8,51,"['value_3', 'value_4', 'value_5', 'value_6', 'value_7', 'value_8', 'value_9', 'value_10', 'value_11', 'value_12', 'value_13', 'value_14', 'value_15', 'value_16', 'value_17', 'value_18', 'value_19', 'value_20', 'value_21', 'value_22', 'value_23', 'value_24', 'value_25', 'value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35', 'value_36', 'value_37', 'value_38', 'value_39', 'value_40', 'value_41', 'value_42', 'value_43', 'value_44', 'value_45', 'value_46', 'value_47', 'value_48', 'value_49', 'value_50', 'value_51', 'value_52', 'value_53']",3,missing_fields
9,0,[],54,kept
10,0,[],54,kept
11,0,[],54,kept
12,0,[],54,kept
13,0,[],54,kept
14,0,[],54,kept
15,0,[],54,kept
16,0,[],54,kept
17,0,[],54,kept
18,0,[],54,kept
19,0,[],54,kept
20,0,[],54,kept
21,0,[],54,kept
22,0,[],54,kept
23,0,[],54,kept
24,0,[],54,kept
25,0,[],54,kept
26,0,[],54,kept
27,0,[],54,kept
28,0,[],54,kept
29,0,[],54,kept
30,50,"['value_4', 'value_5', 'value_6', 'value_7', 'value_8', 'value_9', 'value_10', 'value_11', 'value_12', 'value_13', 'value_14', 'value_15', 'value_16', 'value_17', 'value_18', 'value_19', 'value_20', 'value_21', 'value_22', 'value_23', 'value_24', 'value_25', 'value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35', 'value_36', 'value_37', 'value_38', 'value_39', 'value_40', 'value_41', 'value_42', 'value_43', 'value_44', 'value_45', 'value_46', 'value_47', 'value_48', 'value_49', 'value_50', 'value_51', 'value_52', 'value_53']",4,missing_fields
31,0,[],54,kept
32,0,[],54,kept
33,0,[],54,kept
34,0,[],54,kept
35,0,[],54,kept
36,0,[],54,kept
37,0,[],54,kept
38,50,"['value_4', 'value_5', 'value_6', 'value_7', 'value_8', 'value_9', 'value_10', 'value_11', 'value_12', 'value_13', 'value_14', 'value_15', 'value_16', 'value_17', 'value_18', 'value_19', 'value_20', 'value_21', 'value_22', 'value_23', 'value_24', 'value_25', 'value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35', 'value_36', 'value_37', 'value_38', 'value_39', 'value_40', 'value_41', 'value_42', 'value_43', 'value_44', 'value_45', 'value_46', 'value_47', 'value_48', 'value_49', 'value_50', 'value_51', 'value_52', 'value_53']",4,missing_fields
39,0,[],54,kept
40,0,[],54,kept
41,0,[],54,kept
42,0,[],54,kept
43,0,[],54,kept
44,0,[],54,kept
45,0,[],54,kept
46,0,[],54,kept
47,0,[],54,kept
48,0,[],54,kept
49,0,[],54,kept
50,0,[],54,kept
51,0,[],54,kept
52,0,[],54,kept
53,0,[],54,kept
54,0,[],54,kept
55,0,[],54,kept
56,0,[],54,kept
57,0,[],54,kept
58,0,[],54,kept
59,0,[],54,kept
60,0,[],54,kept
61,0,[],54,kept
62,0,[],54,kept
63,0,[],54,kept
64,53,"['value_1', 'value_2', 'value_3', 'value_4', 'value_5', 'value_6', 'value_7', 'value_8', 'value_9', 'value_10', 'value_11', 'value_12', 'value_13', 'value_14', 'value_15', 'value_16', 'value_17', 'value_18', 'value_19', 'value_20', 'value_21', 'value_22', 'value_23', 'value_24', 'value_25', 'value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35', 'value_36', 'value_37', 'value_38', 'value_39', 'value_40', 'value_41', 'value_42', 'value_43', 'value_44', 'value_45', 'value_46', 'value_47', 'value_48', 'value_49', 'value_50', 'value_51', 'value_52', 'value_53']",1,missing_fields
65,0,[],54,kept
66,0,[],54,kept
67,0,[],54,kept
68,0,[],54,kept
69,53,"['value_1', 'value_2', 'value_3', 'value_4', 'value_5', 'value_6', 'value_7', 'value_8', 'value_9', 'value_10', 'value_11', 'value_12', 'value_13', 'value_14', 'value_15', 'value_16', 'value_17', 'value_18', 'value_19', 'value_20', 'value_21', 'value_22', 'value_23', 'value_24', 'value_25', 'value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35', 'value_36', 'value_37', 'value_38', 'value_39', 'value_40', 'value_41', 'value_42', 'value_43', 'value_44', 'value_45', 'value_46', 'value_47', 'value_48', 'value_49', 'value_50', 'value_51', 'value_52', 'value_53']",1,missing_fields
70,0,[],54,kept
71,0,[],54,kept
72,0,[],54,kept
73,0,[],54,kept
74,0,[],54,kept
75,0,[],54,kept
76,0,[],54,kept
77,0,[],54,kept
78,0,[],54,kept
79,0,[],54,kept
80,0,[],54,kept
81,0,[],54,kept
82,0,[],54,kept
83,0,[],54,kept
84,0,[],54,kept
85,0,[],54,kept
86,0,[],54,kept
87,0,[],54,kept
88,0,[],54,kept
89,0,[],54,kept
90,0,[],54,kept
91,0,[],54,kept
92,0,[],54,kept
93,0,[],54,kept
94,0,[],54,kept
95,0,[],54,kept
96,0,[],54,kept
97,0,[],54,kept
98,0,[],54,kept
99,0,[],54,kept
100,0,[],54,kept
101,0,[],54,kept
102,0,[],54,kept
103,0,[],54,kept
104,0,[],54,kept
105,0,[],54,kept
106,0,[],54,kept
107,0,[],54,kept
108,0,[],54,kept
109,0,[],54,kept
110,0,[],54,kept
111,0,[],54,kept
112,0,[],54,kept
113,0,[],54,kept
114,0,[],54,kept
115,0,[],54,kept
116,0,[],54,kept
117,0,[],54,kept
118,53,"['value_1', 'value_2', 'value_3', 'value_4', 'value_5', 'value_6', 'value_7', 'value_8', 'value_9', 'value_10', 'value_11', 'value_12', 'value_13', 'value_14', 'value_15', 'value_16', 'value_17', 'value_18', 'value_19', 'value_20', 'value_21', 'value_22', 'value_23', 'value_24', 'value_25', 'value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35', 'value_36', 'value_37', 'value_38', 'value_39', 'value_40', 'value_41', 'value_42', 'value_43', 'value_44', 'value_45', 'value_46', 'value_47', 'value_48', 'value_49', 'value_50', 'value_51', 'value_52', 'value_53']",1,missing_fields
119,0,[],54,kept
120,0,[],54,kept
121,0,[],54,kept
122,0,[],54,kept
123,0,[],54,kept
124,0,[],54,kept
125,0,[],54,kept
126,0,[],54,kept
127,0,[],54,kept
128,0,[],54,kept
129,0,[],54,kept
130,0,[],54,kept
131,0,[],54,kept
132,0,[],54,kept
133,0,[],54,kept
134,0,[],54,kept
135,0,[],54,kept
136,0,[],54,kept
137,0,[],54,kept
138,0,[],54,kept
139,0,[],54,kept
140,0,[],54,kept
141,0,[],54,kept
142,0,[],54,kept
143,0,[],54,kept
144,0,[],54,kept
145,0,[],54,kept
146,51,"['value_3', 'value_4', 'value_5', 'value_6', 'value_7', 'value_8', 'value_9', 'value_10', 'value_11', 'value_12', 'value_13', 'value_14', 'value_15', 'value_16', 'value_17', 'value_18', 'value_19', 'value_20', 'value_21', 'value_22', 'value_23', 'value_24', 'value_25', 'value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35', 'value_36', 'value_37', 'value_38', 'value_39', 'value_40', 'value_41', 'value_42', 'value_43', 'value_44', 'value_45', 'value_46', 'value_47', 'value_48', 'value_49', 'value_50', 'value_51', 'value_52', 'value_53']",3,missing_fields
147,0,[],54,kept
148,0,[],54,kept
149,0,[],54,kept
150,0,[],54,kept
151,0,[],54,kept
152,0,[],54,kept
153,0,[],54,kept
154,0,[],54,kept
155,0,[],54,kept
156,0,[],54,kept
157,0,[],54,kept
158,0,[],54,kept
159,0,[],54,kept
160,0,[],54,kept
161,0,[],54,kept
162,0,[],54,kept
163,0,[],54,kept
164,0,[],54,kept
165,0,[],54,kept
166,0,[],54,kept
167,0,[],54,kept
168,0,[],54,kept
169,0,[],54,kept
170,0,[],54,kept
171,0,[],54,kept
172,0,[],54,kept
173,0,[],54,kept
174,0,[],54,kept
175,0,[],54,kept
176,0,[],54,kept
