candidate_id,window_id,subject_id,activity_id,activity_name,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28,value_29,value_30,value_31,value_32,value_33,value_34,value_35,value_36,value_37,value_38,value_39,value_40,value_41,value_42,value_43,value_44,value_45,value_46,value_47,value_48,value_49,value_50,value_51,value_52,value_53
0,5060,108,2,sitting,0.0034,1.2484,-0.0187,0.1345,0.4126,1.0293,-0.188,0.0183,-0.0072,0.0183,0.0075,-0.0027,-0.0306,-0.0002,0.0126,0.0291,0.0172,0.0264,0.2475,0.018,-0.5228,-0.0083,-0.0009,-0.0108,1.0133,0.0116,-0.0187,0.0086,0.0089,-0.0238,-0.1805,-0.0348,-0.0468,-0.0043,-0.0249,0.0077,-0.0012,-0.3241,-0.0093,1.492,0.0027,-0.0174,0.0246,0.3664,0.0171,-0.008,0.0187,-0.0011,0.0064,0.004,0.0222,-0.0379,-0.0117,0.0031
1,5061,108,2,sitting,0.0071,1.3227,-0.0218,0.0905,0.3058,1.1258,-0.386,0.0333,0.0077,0.0163,0.0038,-0.0123,-0.0234,0.0026,0.0113,0.0229,0.018,-0.0241,0.3592,-0.0221,-0.5759,-0.0015,0.0048,-0.0145,0.8655,0.0015,-0.0258,-0.0148,-0.021,-0.0178,-0.1477,-0.0342,-0.0032,-0.0268,-0.0148,-0.0262,-0.0041,-0.5742,-0.0087,0.7882,-0.0093,-0.0116,0.0165,0.2151,0.0238,-0.003,0.012,0.0006,0.0028,0.0085,0.025,-0.0366,-0.0103,0.0011
2,5062,108,2,sitting,0.0066,1.3022,-0.0185,0.0794,0.1951,0.6034,0.1694,-0.0033,-0.0058,0.0148,0.0135,-0.0178,-0.0279,0.0049,0.0107,0.0249,0.018,-0.006,0.3023,0.0224,-0.5151,-0.0008,0.002,-0.009,1.2504,0.0184,0.0087,-0.008,-0.0187,-0.0008,-0.147,0.0015,-0.0396,-0.0441,-0.0132,-0.0023,-0.004,-0.3175,-0.0047,1.0223,0.005,-0.0123,-0.0118,0.4388,0.0077,0.0081,0.0254,0.006,0.0284,0.0061,0.0186,-0.0339,-0.0112,0.0057
3,5063,108,2,sitting,0.0103,1.3358,-0.0077,0.1475,0.3147,0.9984,-0.1472,0.0009,-0.0036,0.017,0.0021,-0.0027,-0.0297,0.0052,0.0061,0.022,0.0189,-0.0015,0.3852,0.0112,-0.564,0.0007,0.0006,0.0051,1.28,-0.0026,0.0031,-0.0179,0.0182,-0.01,-0.153,-0.0171,-0.0234,-0.0335,0.0102,0.0084,-0.0045,-0.5168,-0.0049,1.4888,-0.0105,-0.0116,0.0019,0.4354,0.0213,0.0052,0.0318,0.0138,0.0308,0.0009,0.0126,-0.0361,-0.0122,0.006
4,5064,108,2,sitting,0.0011,1.151,-0.0193,0.1315,0.3188,0.8198,-0.2834,0.0002,-0.0104,0.0137,0.0067,-0.002,-0.0284,0.0044,0.0102,0.0277,0.0168,0.0101,0.3073,0.0252,-0.4995,0.0006,0.0026,0.0151,1.1272,-0.0095,0.018,0.0154,0.0088,-0.0018,-0.1947,-0.032,-0.0058,-0.0474,-0.0246,0.0055,-0.0041,-0.672,-0.0073,0.8125,-0.0024,-0.02,-0.0092,0.3896,0.0164,0.0016,0.0358,0.0117,0.0213,0.0016,0.0278,-0.0347,-0.0094,0.0049
5,5065,108,2,sitting,0.002,1.2737,-0.0129,0.1385,0.4139,1.3774,0.3739,0.002,0.0027,0.0205,0.018,-0.0158,-0.0327,0.0047,0.0127,0.0257,0.0167,0.0037,0.1562,0.0105,-0.516,-0.0001,0.0048,-0.0093,0.9657,-0.012,-0.0144,-0.0061,0.0012,0.0104,-0.1587,-0.0305,-0.0427,-0.0333,0.0263,0.0064,-0.0037,-0.3028,-0.0078,1.0377,-0.0094,-0.0188,0.0051,0.4432,0.0102,0.0041,0.021,0.0086,0.0267,0.0038,0.0214,-0.0358,-0.0105,0.0023
6,5066,108,2,sitting,0.0084,1.3466,-0.0163,0.1775,0.4481,1.251,0.1459,0.0263,0.0105,0.0273,0.0102,-0.0094,-0.0267,0.0025,0.0132,0.0253,0.0182,0.0031,0.3724,0.0214,-0.5274,-0.0107,-0.0102,-0.0074,1.254,-0.0115,-0.0403,-0.0302,0.0173,-0.02,-0.1686,-0.0352,-0.0502,-0.0102,0.0073,0.0021,-0.0047,-0.5431,-0.0086,1.6404,-0.0058,-0.0111,0.0042,0.3486,0.015,0.0086,0.0248,0.0066,0.0231,0.0152,0.0327,-0.038,-0.0115,0.0023
7,5067,108,2,sitting,0.0151,1.2778,-0.0047,0.0467,0.1429,0.4781,0.1588,0.0131,-0.0035,0.017,0.0029,-0.0077,-0.0336,0.0032,0.0052,0.0239,0.0194,0.0025,0.2213,0.0047,-0.5146,-0.0055,-0.0051,0.0365,1.1494,0.026,0.0077,-0.002,-0.0304,0.0009,-0.1773,-0.0304,-0.0388,0.0058,0.0029,0.0107,-0.0016,-0.3202,-0.0061,1.4839,0.0029,-0.0204,0.003,0.3723,0.0033,-0.0032,0.0302,0.0002,0.0213,0.0045,0.0254,-0.0348,-0.0104,0.005
8,5068,108,2,sitting,0.0261,1.3296,-0.0273,0.1828,0.45,1.3095,-0.3377,0.0171,0.0241,0.0171,0.0117,0.0059,-0.0258,-0.0017,0.0097,0.036,0.0175,0.0102,0.3049,-0.024,-0.5287,-0.0088,-0.0023,-0.0452,0.8553,-0.0107,0.0242,0.0238,0.0026,0.0057,-0.1833,-0.0291,-0.0343,-0.009,-0.024,0.022,-0.0058,-0.6198,-0.0116,1.6249,0.0017,-0.0213,-0.0102,0.4304,0.0058,0.0058,0.0251,0.0065,0.0254,0.0048,0.014,-0.0383,-0.0099,0.0068
9,5069,108,2,sitting,0.0018,1.2833,-0.0234,0.1194,0.3111,0.9776,0.2487,-0.0063,0.0011,0.0217,0.0154,-0.0022,-0.0293,-0.0005,0.0121,0.0281,0.0199,-0.0046,0.4424,0.0113,-0.5197,-0.0006,-0.0036,-0.0261,1.2377,-0.045,-0.009,-0.0108,-0.0114,0.0166,-0.1463,0.0016,-0.0453,0.0032,-0.0081,-0.0063,-0.0002,-0.3074,-0.007,1.4584,-0.016,-0.0067,0.0039,0.3807,0.004,0.0051,0.0287,0.0064,0.0151,0.0015,0.0165,-0.0333,-0.013,0.0066
10,5070,108,2,sitting,0.0123,1.2939,-0.0119,0.1316,0.3753,0.9526,0.2377,0.0044,-0.003,0.018,0.011,0.0028,-0.027,0.0052,0.0055,0.0268,0.0196,-0.0002,0.3205,0.0036,-0.5169,0.0027,-0.0025,-0.0039,1.0846,-0.0099,0.0174,0.0215,-0.0232,-0.0037,-0.1818,-0.0149,-0.0154,-0.0116,-0.0142,-0.0081,-0.0029,-0.5771,-0.0123,1.5039,0.002,-0.0139,0.008,0.3419,0.003,0.0096,0.0235,0.009,0.0278,0.0101,0.0247,-0.036,-0.0118,0.005
