candidate_id,window_id,subject_id,activity_id,activity_name,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28,value_29,value_30,value_31,value_32,value_33,value_34,value_35
0,5060,108,2,sitting,-0.0473,-0.9787,-0.0187,0.042,-0.1516,-0.0174,0.0014,0.0113,0.523,-0.0031,-0.0054,0.0023,0.0108,0.8962,0.0011,0.2722,0.0157,0.0188,-0.0128,0.0314,-0.0076,0.0201,-0.0462,0.0737,-0.0186,0.006,-0.0187,0.0158,-0.1282,0.0277,-0.0486,-0.0218,0.0093,0.0269,-0.0244,0.027
1,5061,108,2,sitting,0.0094,0.0766,-0.0051,-0.006,-0.0022,-0.0106,-0.0008,-0.0015,0.5345,-0.0023,-0.0027,-0.0016,0.0103,0.8838,-0.0017,0.0178,0.0027,0.0009,-0.0107,-0.004,0.0061,0.0041,0.0058,0.0023,0.0051,0.0,-0.0001,-0.0112,-0.054,-0.0154,0.0171,-0.0024,-0.0072,0.0012,0.0077,-0.0
3,5063,108,2,sitting,-0.0029,-0.0102,-0.0026,-0.0118,-0.0134,0.0038,-0.0004,-0.0002,-0.2276,0.0177,0.0127,0.0007,0.0171,1.0175,-0.0101,0.0048,-0.0022,0.0014,0.0181,-0.0176,0.0265,0.0134,0.0095,0.0088,0.0238,-0.0153,0.0187,-0.0156,-0.0456,-0.0009,0.0233,0.0205,0.0122,-0.0066,-0.0564,-0.027
4,5064,108,2,sitting,0.0171,-0.5039,0.0103,0.0077,-0.0354,0.0021,-0.0064,0.0001,0.2698,0.0013,0.0043,-0.0034,-0.0075,0.8141,0.005,0.0171,-0.0148,0.0088,0.0227,-0.0232,-0.0037,0.0041,-0.0137,0.0084,-0.0113,0.0063,0.0051,0.0031,-0.0824,-0.0248,-0.0015,0.0043,0.0013,0.013,-0.0128,-0.01
6,5066,108,2,sitting,-0.0715,-0.4944,0.0116,0.0382,-0.0155,0.0006,-0.0069,-0.0103,0.5288,-0.0021,-0.0032,-0.0052,0.0002,0.8386,0.0066,0.1501,0.016,0.0083,0.0111,-0.0077,0.0337,0.0215,-0.0548,-0.1261,0.0331,0.027,0.0221,0.0347,-0.1788,-0.0241,-0.0466,0.0146,0.0233,-0.0092,-0.0861,-0.0046
7,5067,108,2,sitting,0.0023,-0.0264,-0.0112,-0.0052,0.0141,-0.0225,0.0045,0.0083,0.0327,-0.0041,0.0035,0.0076,0.0161,-0.0504,0.0171,0.0088,-0.0024,0.0125,0.0051,-0.011,0.0024,0.0146,-0.0016,-0.018,0.035,0.0115,0.023,0.0247,-0.1346,-0.0176,0.0275,-0.0025,0.0076,0.0004,-0.0386,0.0253
8,5068,108,2,sitting,0.0096,-0.0136,-0.0018,0.0082,-0.0034,-0.0152,0.0049,0.0004,0.4972,0.0024,0.0054,-0.0115,-0.0019,0.0022,0.0228,0.0089,-0.0138,-0.0026,-0.0185,0.0003,-0.0086,-0.0002,0.0092,0.013,-0.0035,0.0074,0.0156,-0.0127,-0.0351,0.0124,0.0247,0.0042,0.001,-0.0005,0.0382,0.007
9,5069,108,2,sitting,0.042,-0.2446,0.0201,-0.005,-0.0689,0.0066,-0.0123,-0.0015,0.004,0.0127,0.007,0.0019,0.032,0.0169,0.0178,-0.003,0.0083,0.0028,0.0084,0.0068,-0.0054,0.0007,-0.0007,0.0345,0.0037,0.0221,-0.0137,0.0185,-0.0977,0.0407,-0.0463,0.007,0.0101,0.0037,0.0049,0.0147
10,5070,108,2,sitting,-0.0498,0.1687,-0.0253,0.0454,-0.016,0.0058,-0.0102,-0.0046,0.5488,-0.002,-0.0014,-0.0111,-0.0006,1.0604,0.0038,0.0264,-0.0154,-0.0214,0.0186,-0.0006,-0.0073,-0.013,-0.0044,0.0182,-0.0117,0.0112,-0.0106,-0.0223,-0.0774,-0.0177,0.0372,-0.0048,-0.0064,-0.0204,-0.0535,-0.027
13,5073,108,2,sitting,-0.0238,0.0265,-0.0013,0.0026,0.0227,0.0044,0.0104,-0.0055,-0.0075,0.0125,-0.0057,0.0104,0.0076,-0.0282,0.025,0.0206,-0.0016,0.0055,0.0117,-0.0009,0.028,-0.0127,0.0007,0.0123,-0.0135,-0.0231,0.0122,0.0183,0.0311,-0.0093,0.0172,-0.0102,0.0187,-0.0071,0.0274,0.007
