candidate_id,window_id,subject_id,activity_id,activity_name,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28,value_29,value_30,value_31,value_32,value_33,value_34,value_35
1,5061,108,2,sitting,-0.0149,1.2787,-0.0204,0.0409,-0.0058,0.023,-0.0279,-0.9344,0.0297,-0.0395,0.4524,0.0269,0.0682,1.1363,-0.0185,-0.0134,-0.01,-0.0024,0.0336,0.0073,-0.0118,0.0247,0.0115,-0.002,0.0047,0.0017,-0.0019,-0.0005,-0.0057,-0.002,0.0015,0.0262,0.0061,0.0013,0.0035,0.0013
9,5069,108,2,sitting,-0.002,0.781,-0.0016,0.0193,-0.0048,-0.0136,0.019,0.4857,-0.0183,-0.0274,-0.1947,-0.0495,-0.0239,1.1919,-0.0255,0.0102,-0.0053,0.0081,0.0026,0.008,-0.0052,0.0047,-0.0054,0.0,0.0065,-0.0005,0.0056,-0.0001,-0.0018,0.0012,0.0002,-0.003,0.0017,0.0037,0.0001,-0.0033
10,5070,108,2,sitting,-0.0094,1.1303,-0.022,0.0113,-0.0096,-0.0112,-0.0377,-0.8927,0.0283,-0.0391,0.4113,0.0045,0.0023,0.4248,-0.0138,-0.0035,-0.0068,0.0034,0.0064,0.0047,-0.0105,0.0077,0.0077,-0.0049,0.0041,-0.0024,0.0115,0.0106,0.0003,0.0177,-0.0048,0.0051,0.01,0.001,0.0012,0.0006
12,5072,108,2,sitting,-0.0103,0.8684,-0.0055,0.0152,-0.0066,0.0155,-0.0036,-0.2527,0.0383,-0.0163,0.1728,-0.0144,-0.0185,0.9952,0.0236,0.0058,0.0066,-0.0044,0.0102,0.0078,0.0063,-0.003,-0.0051,0.0014,0.0086,-0.0023,-0.0043,0.0064,0.0044,0.0003,-0.0015,-0.0101,0.005,0.0008,-0.0057,0.0022
16,5076,108,2,sitting,-0.0069,1.1231,-0.0107,0.0163,-0.0063,-0.012,-0.0176,-0.9477,0.0363,-0.0275,0.4788,0.0219,0.011,1.4421,-0.0128,0.0004,-0.0004,0.0062,0.0012,0.0013,-0.0054,-0.0018,0.0005,0.0137,0.0074,-0.0023,0.0086,-0.006,0.0015,0.0141,0.0033,0.0026,0.0063,-0.0006,0.0137,-0.0037
18,5078,108,2,sitting,-0.0052,0.9942,-0.0028,0.0286,-0.0253,0.0069,0.014,0.9954,-0.0329,-0.0097,-0.4633,-0.0539,-0.0212,-0.0448,0.0272,-0.0009,-0.0114,-0.0067,0.024,0.0029,-0.0075,0.0135,0.0007,0.0118,-0.0054,0.012,0.0063,-0.014,0.0224,0.0077,-0.0038,0.0175,0.0024,-0.0012,-0.0033,-0.0011
19,5079,108,2,sitting,-0.0046,1.3218,-0.0235,0.0375,-0.0087,0.0007,-0.0367,-1.0457,0.0443,-0.0245,0.4814,0.0147,0.0024,1.2403,-0.0082,-0.0043,0.008,0.0004,0.0042,0.0,0.0041,0.0024,0.0053,0.0067,0.0016,-0.0078,0.0128,0.0028,0.0019,0.0116,-0.0006,0.0185,0.0002,-0.0076,0.0052,0.0001
20,5080,108,2,sitting,-0.0067,0.9705,-0.0042,0.0216,-0.0065,-0.0041,-0.0023,-0.2191,-0.0226,-0.0235,0.0517,0.0055,0.0068,0.5577,0.0165,-0.0042,0.0039,0.0008,0.0018,0.0,-0.0001,0.0014,0.0003,0.0002,0.0038,0.0008,0.0031,0.0012,-0.004,0.0015,0.0033,-0.0011,-0.0028,-0.0,0.0017,0.0001
22,5082,108,2,sitting,-0.0029,1.4745,-0.0044,0.0225,-0.0185,-0.0148,0.0035,0.5511,-0.0317,-0.0275,-0.2729,-0.0424,0.0403,0.942,-0.0082,0.0002,-0.0032,0.0211,0.0043,0.0083,-0.0016,0.0002,-0.0066,0.0011,0.0063,0.0028,0.0038,0.0016,-0.0041,0.0026,-0.0037,0.005,0.0016,0.0012,-0.0035,0.0018
23,5083,108,2,sitting,-0.0112,1.2477,-0.0114,0.0308,-0.0032,0.0174,0.0004,-0.2534,0.0295,-0.0453,0.1048,-0.029,0.0576,0.8146,-0.0247,0.0247,-0.0026,0.0036,0.0005,0.0024,-0.0051,0.008,-0.0002,-0.01,-0.0019,-0.0002,0.0152,0.0039,0.0007,-0.0119,0.0003,0.0246,0.0018,0.0002,-0.0054,0.0
