candidate_id,missing_numeric_fields,missing_columns,parsed_numeric_fields,filter_reason
0,1,['value_35'],35,missing_fields
1,0,[],36,kept
2,1,['value_35'],35,missing_fields
3,1,['value_35'],35,missing_fields
4,1,['value_35'],35,missing_fields
5,1,['value_35'],35,missing_fields
6,1,['value_35'],35,missing_fields
7,1,['value_35'],35,missing_fields
8,1,['value_35'],35,missing_fields
9,0,[],36,kept
10,0,[],36,kept
11,10,"['value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35']",26,missing_fields
12,0,[],36,kept
13,1,['value_35'],35,missing_fields
14,1,['value_35'],35,missing_fields
15,1,['value_35'],35,missing_fields
16,0,[],36,kept
17,1,['value_35'],35,missing_fields
18,0,[],36,kept
19,0,[],36,kept
20,0,[],36,kept
21,1,['value_35'],35,missing_fields
22,0,[],36,kept
23,0,[],36,kept
24,0,[],36,kept
25,5,"['value_31', 'value_32', 'value_33', 'value_34', 'value_35']",31,missing_fields
26,1,['value_35'],35,missing_fields
27,1,['value_35'],35,missing_fields
28,1,['value_35'],35,missing_fields
29,0,[],36,kept
30,1,['value_35'],35,missing_fields
31,0,[],36,kept
32,3,"['value_33', 'value_34', 'value_35']",33,missing_fields
33,0,[],36,kept
34,6,"['value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35']",30,missing_fields
35,5,"['value_31', 'value_32', 'value_33', 'value_34', 'value_35']",31,missing_fields
36,1,['value_35'],35,missing_fields
37,0,[],36,kept
38,0,[],36,kept
39,1,['value_35'],35,missing_fields
40,1,['value_35'],35,missing_fields
41,0,[],36,kept
42,1,['value_35'],35,missing_fields
43,1,['value_35'],35,missing_fields
44,0,[],36,kept
45,5,"['value_31', 'value_32', 'value_33', 'value_34', 'value_35']",31,missing_fields
46,5,"['value_31', 'value_32', 'value_33', 'value_34', 'value_35']",31,missing_fields
47,1,['value_35'],35,missing_fields
48,1,['value_35'],35,missing_fields
49,1,['value_35'],35,missing_fields
50,1,['value_35'],35,missing_fields
51,1,['value_35'],35,missing_fields
52,1,['value_35'],35,missing_fields
53,30,"['value_6', 'value_7', 'value_8', 'value_9', 'value_10', 'value_11', 'value_12', 'value_13', 'value_14', 'value_15', 'value_16', 'value_17', 'value_18', 'value_19', 'value_20', 'value_21', 'value_22', 'value_23', 'value_24', 'value_25', 'value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35']",6,missing_fields
54,0,[],36,kept
55,9,"['value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35']",27,missing_fields
56,1,['value_35'],35,missing_fields
57,1,['value_35'],35,missing_fields
58,1,['value_35'],35,missing_fields
59,0,[],36,kept
60,0,[],36,kept
61,1,['value_35'],35,missing_fields
62,34,"['value_2', 'value_3', 'value_4', 'value_5', 'value_6', 'value_7', 'value_8', 'value_9', 'value_10', 'value_11', 'value_12', 'value_13', 'value_14', 'value_15', 'value_16', 'value_17', 'value_18', 'value_19', 'value_20', 'value_21', 'value_22', 'value_23', 'value_24', 'value_25', 'value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35']",2,missing_fields
63,1,['value_35'],35,missing_fields
64,1,['value_35'],35,missing_fields
65,1,['value_35'],35,missing_fields
66,1,['value_35'],35,missing_fields
67,0,[],36,kept
68,1,['value_35'],35,missing_fields
69,1,['value_35'],35,missing_fields
70,1,['value_35'],35,missing_fields
71,1,['value_35'],35,missing_fields
72,2,"['value_34', 'value_35']",34,missing_fields
73,1,['value_35'],35,missing_fields
74,0,[],36,kept
75,0,[],36,kept
76,1,['value_35'],35,missing_fields
77,1,['value_35'],35,missing_fields
78,32,"['value_4', 'value_5', 'value_6', 'value_7', 'value_8', 'value_9', 'value_10', 'value_11', 'value_12', 'value_13', 'value_14', 'value_15', 'value_16', 'value_17', 'value_18', 'value_19', 'value_20', 'value_21', 'value_22', 'value_23', 'value_24', 'value_25', 'value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35']",4,missing_fields
79,1,['value_35'],35,missing_fields
80,0,[],36,norm_filter
81,0,[],36,kept
82,1,['value_35'],35,missing_fields
83,5,"['value_31', 'value_32', 'value_33', 'value_34', 'value_35']",31,missing_fields
84,1,['value_35'],35,missing_fields
85,0,[],36,kept
86,1,['value_35'],35,missing_fields
87,1,['value_35'],35,missing_fields
88,1,['value_35'],35,missing_fields
89,1,['value_35'],35,missing_fields
90,1,['value_35'],35,missing_fields
91,1,['value_35'],35,missing_fields
92,0,[],36,kept
