candidate_id,window_id,subject_id,activity_id,activity_name,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28,value_29,value_30,value_31,value_32,value_33,value_34,value_35
0,5060,108,2,sitting,-0.0035,1.3281,-0.0098,0.0114,-0.0101,-0.0073,0.0194,-0.4638,0.0283,-0.0216,0.199,-0.0346,0.0116,0.9918,-0.0222,0.0009,-0.0027,0.0107,0.0017,0.0026,0.0012,0.0071,-0.0045,0.0,-0.008,0.0046,0.0104,0.0026,-0.0102,0.003,0.0021,0.026,0.0011,0.0013,-0.0,
1,5061,108,2,sitting,-0.0149,1.2787,-0.0204,0.0409,-0.0058,0.023,-0.0279,-0.9344,0.0297,-0.0395,0.4524,0.0269,0.0682,1.1363,-0.0185,-0.0134,-0.01,-0.0024,0.0336,0.0073,-0.0118,0.0247,0.0115,-0.002,0.0047,0.0017,-0.0019,-0.0005,-0.0057,-0.002,0.0015,0.0262,0.0061,0.0013,0.0035,0.0013
2,5062,108,2,sitting,-0.0039,1.2963,-0.0043,0.0304,-0.016,0.0043,-0.0014,-0.8997,0.0396,-0.0244,0.4513,0.0141,0.0084,1.1243,-0.0102,-0.0051,-0.0004,0.0016,0.0199,0.0072,-0.0037,0.0021,0.0178,-0.0052,0.0141,0.0027,0.0022,0.0047,-0.0106,0.03,0.0072,0.0021,0.0012,0.0012,0.0,
3,5063,108,2,sitting,-0.0009,1.4397,-0.0083,0.0044,-0.0033,-0.0036,-0.0003,-0.9485,0.0487,-0.0282,0.4596,0.0366,0.0224,0.7666,-0.0082,0.0066,-0.0256,0.0213,0.0286,0.0194,-0.01,-0.0173,-0.0089,0.0029,-0.0041,0.0131,0.0029,-0.013,0.0144,0.0074,-0.0055,0.0136,0.0023,0.0059,0.0,
4,5064,108,2,sitting,0.0136,-0.0006,0.0036,0.0113,-0.0026,0.0077,0.0152,0.0008,0.0074,-0.0042,-0.0007,-0.0016,0.0066,-0.0016,0.0,0.005,-0.0007,0.0042,0.0041,0.0011,0.0013,0.0001,0.0007,-0.0012,-0.0018,0.0022,0.0005,0.0114,0.0,-0.0015,-0.0004,0.003,-0.0023,0.0007,0.0,
5,5065,108,2,sitting,-0.0083,1.4573,-0.0076,0.0144,-0.0124,0.0053,-0.0023,-0.9247,0.0425,-0.03,0.459,-0.0145,0.0012,1.0868,0.004,0.0032,0.0047,-0.0009,0.0115,0.0063,0.0034,0.0022,0.0013,0.0048,0.0023,0.0006,0.0032,0.0048,0.005,0.0065,0.0066,0.0037,0.0046,0.0033,0.0,
6,5066,108,2,sitting,-0.0058,1.0111,-0.0044,0.0082,0.0032,0.0014,0.0016,0.001,0.0112,0.0033,0.008,0.0025,0.0045,0.0024,-0.0014,-0.0004,-0.0001,0.0007,-0.0026,0.0034,-0.0006,0.0023,0.001,0.0022,0.0022,-0.0009,0.0114,-0.0018,0.0075,-0.0031,0.0012,0.0026,0.0028,0.001,0.0,
7,5067,108,2,sitting,-0.0048,0.4926,0.0015,0.0124,0.0082,-0.0151,0.03,0.3629,-0.0136,0.0145,-0.1643,-0.0514,0.0652,1.5103,-0.01,0.0043,0.0182,0.0016,0.0151,0.0079,-0.0052,-0.0025,0.0115,0.0138,0.0013,-0.0041,-0.0022,0.0022,0.0011,0.0126,-0.0006,0.0296,0.0026,0.003,0.0,
8,5068,108,2,sitting,-0.006,1.2934,-0.0011,0.0342,0.0027,-0.003,-0.0111,-0.9573,0.0555,-0.0227,0.4686,0.0328,0.0004,0.4922,-0.0133,0.013,-0.0032,0.0009,0.0035,0.0002,0.0007,0.0024,-0.0008,0.0203,0.0114,0.0027,0.0054,-0.0007,0.0229,-0.0002,-0.0051,0.006,0.0023,-0.0032,0.0,
9,5069,108,2,sitting,-0.002,0.781,-0.0016,0.0193,-0.0048,-0.0136,0.019,0.4857,-0.0183,-0.0274,-0.1947,-0.0495,-0.0239,1.1919,-0.0255,0.0102,-0.0053,0.0081,0.0026,0.008,-0.0052,0.0047,-0.0054,0.0,0.0065,-0.0005,0.0056,-0.0001,-0.0018,0.0012,0.0002,-0.003,0.0017,0.0037,0.0001,-0.0033
