candidate_id,missing_numeric_fields,missing_columns,parsed_numeric_fields,filter_reason
0,0,[],72,kept
1,0,[],72,kept
2,0,[],72,kept
3,0,[],72,kept
4,0,[],72,kept
5,0,[],72,kept
6,0,[],72,kept
7,0,[],72,kept
8,0,[],72,kept
9,0,[],72,kept
10,0,[],72,kept
11,0,[],72,kept
12,0,[],72,kept
13,0,[],72,kept
14,0,[],72,kept
15,0,[],72,kept
16,0,[],72,kept
17,0,[],72,kept
18,0,[],72,kept
19,0,[],72,kept
20,0,[],72,kept
21,0,[],72,kept
22,0,[],72,kept
23,0,[],72,kept
24,0,[],72,kept
25,0,[],72,kept
26,0,[],72,kept
27,0,[],72,kept
28,0,[],72,kept
29,0,[],72,kept
30,0,[],72,kept
31,0,[],72,kept
32,0,[],72,kept
33,0,[],72,kept
34,0,[],72,kept
35,0,[],72,kept
36,0,[],72,kept
37,0,[],72,kept
38,0,[],72,kept
39,0,[],72,kept
40,0,[],72,kept
41,0,[],72,kept
42,0,[],72,kept
43,0,[],72,kept
44,0,[],72,kept
45,0,[],72,kept
46,0,[],72,kept
47,0,[],72,kept
48,0,[],72,kept
49,0,[],72,kept
50,0,[],72,kept
51,0,[],72,kept
52,0,[],72,kept
53,0,[],72,kept
54,0,[],72,kept
55,0,[],72,kept
56,0,[],72,kept
57,0,[],72,kept
58,0,[],72,kept
59,0,[],72,kept
60,0,[],72,kept
61,0,[],72,kept
62,0,[],72,kept
63,0,[],72,kept
64,0,[],72,kept
65,0,[],72,kept
66,0,[],72,kept
67,0,[],72,kept
68,0,[],72,kept
69,0,[],72,kept
70,0,[],72,kept
71,0,[],72,kept
72,0,[],72,kept
73,0,[],72,kept
74,0,[],72,kept
75,0,[],72,kept
76,0,[],72,kept
77,0,[],72,kept
78,0,[],72,kept
79,0,[],72,kept
80,0,[],72,kept
81,0,[],72,kept
82,0,[],72,kept
83,0,[],72,kept
84,0,[],72,kept
85,0,[],72,kept
86,0,[],72,kept
87,0,[],72,kept
88,0,[],72,kept
89,0,[],72,kept
90,0,[],72,kept
91,0,[],72,kept
92,0,[],72,kept
93,0,[],72,kept
94,0,[],72,kept
95,0,[],72,kept
96,0,[],72,kept
97,0,[],72,kept
98,0,[],72,kept
99,0,[],72,kept
100,0,[],72,kept
101,0,[],72,kept
102,0,[],72,kept
103,0,[],72,kept
104,0,[],72,kept
105,0,[],72,kept
106,0,[],72,kept
107,0,[],72,kept
108,0,[],72,kept
109,0,[],72,kept
110,0,[],72,kept
111,0,[],72,kept
112,0,[],72,kept
113,0,[],72,kept
114,0,[],72,kept
115,0,[],72,kept
116,0,[],72,kept
117,0,[],72,kept
118,0,[],72,kept
119,0,[],72,kept
120,0,[],72,kept
121,0,[],72,kept
122,0,[],72,kept
123,0,[],72,kept
124,0,[],72,kept
125,0,[],72,kept
126,0,[],72,kept
127,0,[],72,kept
128,0,[],72,kept
129,0,[],72,kept
130,0,[],72,kept
131,0,[],72,kept
132,0,[],72,kept
133,0,[],72,kept
134,0,[],72,kept
135,0,[],72,kept
136,0,[],72,kept
137,0,[],72,kept
138,0,[],72,kept
139,0,[],72,kept
140,0,[],72,kept
141,0,[],72,kept
142,0,[],72,kept
143,0,[],72,kept
144,0,[],72,kept
145,0,[],72,kept
146,0,[],72,kept
147,0,[],72,kept
148,0,[],72,kept
149,0,[],72,kept
150,0,[],72,kept
151,0,[],72,kept
152,0,[],72,kept
153,0,[],72,kept
154,0,[],72,kept
155,0,[],72,kept
156,0,[],72,kept
157,0,[],72,kept
158,0,[],72,kept
159,0,[],72,kept
160,0,[],72,kept
161,0,[],72,kept
162,0,[],72,kept
163,0,[],72,kept
164,0,[],72,kept
165,0,[],72,kept
166,0,[],72,kept
167,0,[],72,kept
168,0,[],72,kept
169,0,[],72,kept
170,0,[],72,kept
171,0,[],72,kept
172,0,[],72,kept
173,0,[],72,kept
174,0,[],72,kept
175,0,[],72,kept
176,0,[],72,kept
177,0,[],72,kept
178,0,[],72,kept
179,0,[],72,kept
180,0,[],72,kept
181,0,[],72,kept
182,0,[],72,kept
183,0,[],72,kept
184,0,[],72,kept
185,0,[],72,kept
186,0,[],72,kept
187,0,[],72,kept
188,0,[],72,kept
189,0,[],72,kept
190,0,[],72,kept
191,0,[],72,kept
192,0,[],72,kept
193,0,[],72,kept
194,0,[],72,kept
195,0,[],72,kept
196,0,[],72,kept
197,0,[],72,kept
198,0,[],72,kept
199,0,[],72,kept
200,0,[],72,kept
201,0,[],72,kept
202,0,[],72,kept
203,0,[],72,kept
204,0,[],72,kept
205,0,[],72,kept
206,0,[],72,kept
207,0,[],72,kept
208,0,[],72,kept
209,0,[],72,kept
210,0,[],72,kept
211,0,[],72,kept
212,0,[],72,kept
213,0,[],72,kept
214,0,[],72,kept
215,0,[],72,kept
216,0,[],72,kept
217,0,[],72,kept
218,0,[],72,kept
219,0,[],72,kept
220,0,[],72,kept
221,0,[],72,kept
222,0,[],72,kept
223,0,[],72,kept
224,0,[],72,kept
225,0,[],72,kept
226,0,[],72,kept
227,0,[],72,kept
228,0,[],72,kept
229,0,[],72,kept
230,0,[],72,kept
231,0,[],72,kept
232,0,[],72,kept
233,0,[],72,kept
234,0,[],72,kept
235,0,[],72,kept
236,0,[],72,kept
237,0,[],72,kept
238,0,[],72,kept
239,0,[],72,kept
240,0,[],72,kept
241,0,[],72,kept
242,0,[],72,kept
243,0,[],72,kept
244,0,[],72,kept
245,0,[],72,kept
246,0,[],72,kept
247,0,[],72,kept
248,0,[],72,kept
249,0,[],72,kept
250,0,[],72,kept
251,0,[],72,kept
252,0,[],72,kept
253,0,[],72,kept
