candidate_id,missing_numeric_fields,missing_columns,parsed_numeric_fields,filter_reason
0,0,[],54,kept
1,0,[],54,kept
2,0,[],54,kept
3,0,[],54,kept
4,0,[],54,kept
5,0,[],54,kept
6,0,[],54,kept
7,0,[],54,kept
8,0,[],54,kept
9,0,[],54,kept
10,0,[],54,kept
11,0,[],54,kept
12,0,[],54,kept
13,0,[],54,kept
14,0,[],54,kept
15,0,[],54,kept
16,0,[],54,kept
17,0,[],54,kept
18,0,[],54,kept
19,0,[],54,kept
20,0,[],54,kept
21,0,[],54,kept
22,0,[],54,kept
23,0,[],54,kept
24,0,[],54,kept
25,0,[],54,kept
26,0,[],54,kept
27,0,[],54,kept
28,0,[],54,kept
29,0,[],54,kept
30,0,[],54,kept
31,0,[],54,kept
32,0,[],54,kept
33,0,[],54,kept
34,0,[],54,kept
35,0,[],54,kept
36,0,[],54,kept
37,0,[],54,kept
38,0,[],54,kept
39,0,[],54,kept
40,0,[],54,kept
41,0,[],54,kept
42,0,[],54,kept
43,0,[],54,kept
44,0,[],54,kept
45,0,[],54,kept
46,0,[],54,kept
47,0,[],54,kept
48,0,[],54,kept
49,0,[],54,kept
50,0,[],54,kept
51,0,[],54,kept
52,0,[],54,kept
53,0,[],54,kept
54,0,[],54,kept
55,0,[],54,kept
56,0,[],54,kept
57,0,[],54,kept
58,0,[],54,kept
59,0,[],54,kept
60,0,[],54,kept
61,0,[],54,kept
62,0,[],54,kept
63,0,[],54,kept
64,0,[],54,kept
65,0,[],54,kept
66,0,[],54,kept
67,0,[],54,kept
68,0,[],54,kept
69,0,[],54,kept
70,0,[],54,kept
71,0,[],54,kept
72,0,[],54,kept
73,0,[],54,kept
74,0,[],54,kept
75,0,[],54,kept
76,0,[],54,kept
77,0,[],54,kept
78,0,[],54,kept
79,0,[],54,kept
80,0,[],54,kept
81,0,[],54,kept
82,0,[],54,kept
83,0,[],54,kept
84,0,[],54,kept
85,0,[],54,kept
86,0,[],54,kept
87,0,[],54,kept
88,0,[],54,kept
89,0,[],54,kept
90,0,[],54,kept
91,0,[],54,kept
92,0,[],54,kept
93,0,[],54,kept
94,0,[],54,kept
95,0,[],54,kept
96,0,[],54,kept
97,0,[],54,kept
98,0,[],54,kept
99,0,[],54,kept
100,0,[],54,kept
101,0,[],54,kept
102,0,[],54,kept
103,0,[],54,kept
104,0,[],54,kept
105,0,[],54,kept
106,0,[],54,kept
107,0,[],54,kept
108,0,[],54,kept
109,0,[],54,kept
110,0,[],54,kept
111,0,[],54,kept
112,0,[],54,kept
113,0,[],54,kept
114,0,[],54,kept
115,0,[],54,kept
116,0,[],54,kept
117,0,[],54,kept
118,0,[],54,kept
119,0,[],54,kept
120,0,[],54,kept
121,0,[],54,kept
122,0,[],54,kept
123,0,[],54,kept
124,0,[],54,kept
125,0,[],54,kept
126,0,[],54,kept
127,0,[],54,kept
128,0,[],54,kept
129,0,[],54,kept
130,0,[],54,kept
131,0,[],54,kept
132,0,[],54,kept
133,0,[],54,kept
134,0,[],54,kept
135,0,[],54,kept
136,0,[],54,kept
137,0,[],54,kept
138,0,[],54,kept
139,0,[],54,kept
140,0,[],54,kept
141,0,[],54,kept
142,0,[],54,kept
143,0,[],54,kept
144,0,[],54,kept
145,0,[],54,kept
146,0,[],54,kept
147,0,[],54,kept
148,0,[],54,kept
149,0,[],54,kept
150,0,[],54,kept
151,0,[],54,kept
152,0,[],54,kept
153,0,[],54,kept
154,0,[],54,kept
155,0,[],54,kept
156,0,[],54,kept
157,0,[],54,kept
158,0,[],54,kept
159,0,[],54,kept
160,0,[],54,kept
161,0,[],54,kept
162,0,[],54,kept
163,0,[],54,kept
164,0,[],54,kept
165,0,[],54,kept
166,0,[],54,kept
167,0,[],54,kept
168,0,[],54,kept
169,0,[],54,kept
170,0,[],54,kept
171,0,[],54,kept
172,0,[],54,kept
173,0,[],54,kept
174,0,[],54,kept
175,0,[],54,kept
176,0,[],54,kept
177,0,[],54,kept
178,0,[],54,kept
179,0,[],54,kept
180,0,[],54,kept
181,0,[],54,kept
182,0,[],54,kept
183,0,[],54,kept
184,0,[],54,kept
185,0,[],54,kept
186,0,[],54,kept
187,0,[],54,kept
188,0,[],54,kept
189,0,[],54,kept
190,0,[],54,kept
191,0,[],54,kept
192,0,[],54,kept
193,0,[],54,kept
194,0,[],54,kept
195,0,[],54,kept
196,0,[],54,kept
197,0,[],54,kept
198,0,[],54,kept
199,0,[],54,kept
200,0,[],54,kept
201,0,[],54,kept
202,0,[],54,kept
203,0,[],54,kept
204,0,[],54,kept
205,0,[],54,kept
206,0,[],54,kept
207,0,[],54,kept
208,0,[],54,kept
209,0,[],54,kept
210,0,[],54,kept
211,0,[],54,kept
212,0,[],54,kept
213,0,[],54,kept
214,0,[],54,kept
215,0,[],54,kept
216,0,[],54,kept
217,0,[],54,kept
218,0,[],54,kept
219,0,[],54,kept
220,0,[],54,kept
221,0,[],54,kept
222,0,[],54,kept
223,0,[],54,kept
224,0,[],54,kept
225,0,[],54,kept
226,0,[],54,kept
227,0,[],54,kept
228,0,[],54,kept
229,0,[],54,kept
230,0,[],54,kept
231,0,[],54,kept
232,0,[],54,kept
233,0,[],54,kept
234,0,[],54,kept
235,0,[],54,kept
236,0,[],54,kept
237,0,[],54,kept
238,0,[],54,kept
239,0,[],54,kept
240,0,[],54,kept
241,0,[],54,kept
242,0,[],54,kept
243,0,[],54,kept
244,0,[],54,kept
245,0,[],54,kept
246,0,[],54,kept
247,0,[],54,kept
248,0,[],54,kept
249,0,[],54,kept
250,0,[],54,kept
251,0,[],54,kept
252,0,[],54,kept
253,0,[],54,kept
254,0,[],54,kept
255,0,[],54,kept
256,0,[],54,kept
257,0,[],54,kept
258,0,[],54,kept
259,0,[],54,kept
260,0,[],54,kept
261,0,[],54,kept
262,0,[],54,kept
263,0,[],54,kept
264,0,[],54,kept
265,0,[],54,kept
266,0,[],54,kept
267,0,[],54,kept
268,0,[],54,kept
269,0,[],54,kept
270,0,[],54,kept
271,0,[],54,kept
272,0,[],54,kept
273,0,[],54,kept
274,0,[],54,kept
275,0,[],54,kept
276,0,[],54,kept
277,0,[],54,kept
278,0,[],54,kept
279,0,[],54,kept
280,0,[],54,kept
281,0,[],54,kept
282,0,[],54,kept
283,0,[],54,kept
284,0,[],54,kept
285,0,[],54,kept
286,0,[],54,kept
287,0,[],54,kept
288,0,[],54,kept
289,0,[],54,kept
290,0,[],54,kept
291,0,[],54,kept
292,0,[],54,kept
293,0,[],54,kept
294,0,[],54,kept
295,0,[],54,kept
296,0,[],54,kept
297,0,[],54,kept
298,0,[],54,kept
299,0,[],54,kept
300,0,[],54,kept
301,0,[],54,kept
302,0,[],54,kept
303,0,[],54,kept
304,0,[],54,kept
305,0,[],54,kept
306,0,[],54,kept
307,0,[],54,kept
308,0,[],54,kept
309,0,[],54,kept
310,0,[],54,kept
311,0,[],54,kept
312,0,[],54,kept
313,0,[],54,kept
314,0,[],54,kept
315,0,[],54,kept
316,0,[],54,kept
317,0,[],54,kept
318,0,[],54,kept
319,0,[],54,kept
320,0,[],54,kept
321,0,[],54,kept
322,0,[],54,kept
323,0,[],54,kept
324,0,[],54,kept
325,0,[],54,kept
326,0,[],54,kept
327,0,[],54,kept
328,0,[],54,kept
329,0,[],54,kept
330,0,[],54,kept
331,0,[],54,kept
332,0,[],54,kept
333,0,[],54,kept
334,0,[],54,kept
335,0,[],54,kept
336,0,[],54,kept
337,0,[],54,kept
338,0,[],54,kept
339,0,[],54,kept
340,0,[],54,kept
341,0,[],54,kept
342,0,[],54,kept
343,0,[],54,kept
344,0,[],54,kept
345,0,[],54,kept
346,0,[],54,kept
347,0,[],54,kept
348,0,[],54,kept
349,0,[],54,kept
350,0,[],54,kept
351,0,[],54,kept
352,0,[],54,kept
353,0,[],54,kept
354,0,[],54,kept
355,0,[],54,kept
356,0,[],54,kept
357,0,[],54,kept
358,0,[],54,kept
359,0,[],54,kept
360,0,[],54,kept
361,0,[],54,kept
362,0,[],54,kept
363,0,[],54,kept
364,0,[],54,kept
365,0,[],54,kept
366,0,[],54,kept
367,0,[],54,kept
368,0,[],54,kept
369,0,[],54,kept
370,0,[],54,kept
371,0,[],54,kept
372,0,[],54,kept
373,0,[],54,kept
374,0,[],54,kept
375,0,[],54,kept
376,0,[],54,kept
377,0,[],54,kept
378,0,[],54,kept
379,0,[],54,kept
380,0,[],54,kept
381,0,[],54,kept
382,0,[],54,kept
383,0,[],54,kept
384,0,[],54,kept
385,0,[],54,kept
386,0,[],54,kept
