candidate_id,missing_numeric_fields,missing_columns,parsed_numeric_fields,filter_reason
0,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
1,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
2,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
3,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
4,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
5,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
6,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
7,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
8,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
9,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
10,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
11,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
12,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
13,8,"['value_100', 'value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",100,missing_fields
14,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
15,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
16,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
17,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
18,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
19,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
20,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
21,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
22,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
23,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
24,6,"['value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",102,missing_fields
25,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
26,8,"['value_100', 'value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",100,missing_fields
27,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
28,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
29,8,"['value_100', 'value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",100,missing_fields
30,6,"['value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",102,missing_fields
31,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
32,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
33,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
34,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
35,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
36,8,"['value_100', 'value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",100,missing_fields
37,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
38,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
39,8,"['value_100', 'value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",100,missing_fields
40,8,"['value_100', 'value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",100,missing_fields
41,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
42,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
43,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
44,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
45,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
46,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
47,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
48,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
49,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
50,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
51,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
52,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
53,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
54,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
55,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
56,8,"['value_100', 'value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",100,missing_fields
57,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
58,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
59,6,"['value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",102,missing_fields
60,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
61,8,"['value_100', 'value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",100,missing_fields
62,8,"['value_100', 'value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",100,missing_fields
63,6,"['value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",102,missing_fields
64,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
65,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
66,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
67,6,"['value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",102,missing_fields
68,8,"['value_100', 'value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",100,missing_fields
69,6,"['value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",102,missing_fields
70,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
71,8,"['value_100', 'value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",100,missing_fields
72,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
73,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
74,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
75,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
76,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
77,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
78,8,"['value_100', 'value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",100,missing_fields
79,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
80,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
81,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
82,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
83,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
84,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
85,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
86,8,"['value_100', 'value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",100,missing_fields
87,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
88,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
89,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
90,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
91,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
92,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
93,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
94,6,"['value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",102,missing_fields
95,8,"['value_100', 'value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",100,missing_fields
96,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
97,6,"['value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",102,missing_fields
98,8,"['value_100', 'value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",100,missing_fields
99,7,"['value_101', 'value_102', 'value_103', 'value_104', 'value_105', 'value_106', 'value_107']",101,missing_fields
