candidate_id,window_id,subject_id,activity_id,activity_name,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28,value_29,value_30,value_31,value_32,value_33,value_34,value_35
81,5141,108,2,sitting,0.0117,-1.3164,0.002,-0.0009,0.0002,0.009,-0.0041,-0.0011,0.5464,-0.0019,-0.001,-0.0012,-0.0036,1.4749,-0.0052,0.0207,0.0083,0.0063,-0.0237,0.0146,-0.0187,-0.0223,-0.0728,-0.0697,-0.0148,0.0155,0.0255,0.046,-0.2144,-0.0285,0.0534,0.0072,0.0157,0.028,-0.034,-0.0223
164,5224,108,2,sitting,0.002,-3.1772,0.0108,-0.045,0.0594,0.0632,-0.01,-0.0107,-0.5746,-0.0015,-0.0037,-0.0008,-0.0216,1.4836,-0.0133,0.1903,0.0135,-0.0166,0.0043,-0.0182,-0.0134,-0.0045,0.0961,-0.2627,0.0239,0.0142,0.019,0.0505,-0.3073,-0.0232,0.0563,0.0168,0.0202,0.0292,-0.1276,-0.029
191,5251,108,3,standing,-0.0093,0.8182,-0.0117,0.0324,0.0411,-0.025,-0.011,-0.0035,0.5841,-0.0007,0.0,-0.012,-0.0127,0.7943,-0.0253,-0.0534,0.0106,-0.0129,0.008,-0.0123,-0.0148,0.0285,0.0872,-0.0973,0.0731,-0.0084,0.0803,0.2857,-0.3387,-0.0292,0.0504,-0.0216,0.0228,0.0332,-0.1108,-0.0086
199,5259,108,3,standing,0.004,-0.0141,0.0037,0.046,0.017,0.0232,-0.0042,0.0047,0.5468,0.0069,-0.0003,0.0083,-0.0165,-0.5631,-0.0205,0.0149,-0.0208,0.018,0.0167,-0.0189,0.0188,-0.0093,0.0239,0.0443,-0.0205,0.0195,0.0227,0.0237,-0.2086,-0.024,-0.0039,0.0238,0.0223,0.0245,-0.1198,-0.0499
400,5460,108,4,walking,0.014,-0.8333,0.0857,-0.37,1.5483,0.9604,0.0594,-0.0886,0.5491,0.0896,-0.0403,-0.4134,-0.1882,-0.0551,-0.0485,0.0597,-0.4236,0.1887,0.2472,-0.0428,-0.3092,-0.2953,-0.2364,0.6636,0.4143,-0.0375,-0.3878,-0.3941,3.5569,2.4431,-0.679,-0.0443,0.0343,0.5488,0.9976,-1.6602
418,5478,108,4,walking,1.6439,0.0156,-0.0008,0.0394,1.8482,-0.6873,-0.0343,0.0052,0.5489,-0.025,-0.0293,2.9554,0.3784,0.0092,-1.8742,-0.4762,3.9855,0.1886,0.2493,-0.0788,0.0541,0.137,-0.0752,0.2499,-0.6583,-0.0682,0.0163,-0.4366,-0.0072,0.7749,-0.5492,-0.0187,-0.0194,0.8253,-0.4234,-0.8472
513,5573,108,4,walking,0.0084,-0.518,0.0146,0.023,1.0788,-0.239,-0.0428,0.036,0.5548,0.0943,-0.082,0.1437,0.2735,0.5404,3.2598,-0.0691,-0.057,-0.2631,-0.2452,-0.3872,-0.2963,0.3693,-0.3364,0.4087,2.6897,-0.0003,-0.7723,-0.4469,-0.3966,0.4941,-0.8255,-0.0194,0.0266,0.4572,-0.0979,-1.4252
523,5583,108,4,walking,2.009,0.3238,0.0642,-0.4257,1.0885,0.8096,-0.5184,-0.0223,-0.5237,-0.0489,-0.0874,0.6584,-0.0594,0.5384,-1.4587,0.8382,-1.714,-0.5165,0.2477,-0.1354,-0.1463,-0.0548,0.0208,-0.3202,0.7299,-0.4385,0.6872,-0.6743,0.5478,-0.3306,-0.5276,-0.1262,-0.1788,0.5244,-0.4232,0.8278
539,5599,108,4,walking,-3.8205,-0.3245,0.0941,0.1247,0.8837,1.6355,0.0873,-0.0901,0.595,-0.1536,0.134,3.9554,-0.3077,0.5634,-1.2543,0.0695,2.8443,-0.3743,-0.2372,0.2035,-0.2458,0.2749,0.059,0.3944,-1.3874,-0.0428,-0.6087,0.7237,-0.4645,-0.8255,-0.7291,-0.037,-0.0557,0.6479,0.1092,-1.7839
692,5752,108,6,cycling,-0.0711,-0.4091,0.1243,0.0506,0.3244,-0.4563,0.0439,-0.0097,0.5799,-0.0443,0.0096,0.0395,-0.0473,-0.1081,-0.0099,-0.0377,-0.283,-0.0266,0.388,-0.2429,-0.3634,-0.2399,-0.4966,-0.4764,-0.0201,0.0675,0.0807,0.377,2.396,0.0853,-0.5548,-0.0461,-0.1018,0.8846,4.7291,0.4486
715,5775,108,6,cycling,-1.7852,0.8735,-0.1084,0.0481,-0.8253,-0.9873,0.1392,0.0856,1.4874,0.0404,-0.0505,-0.145,-0.1559,-1.4458,0.4625,-0.1085,-0.4254,-0.049,0.0797,-0.0477,-0.0397,-0.0955,0.6607,0.5476,-0.8255,-0.0167,0.5497,0.0393,1.5443,-0.4257,-1.5013,0.0883,0.0948,0.0643,8.4334,1.7205
748,5808,108,5,running,-1.1486,0.6133,1.5898,-1.0588,-0.3303,-1.6602,-1.8497,4.274,0.3523,-0.3876,0.2697,-0.1264,1.086,-0.0134,-0.0084,-0.062,-0.2453,-2.2582,-1.5546,4.0577,-0.6883,0.793,-0.379,-0.0974,1.9254,3.6691,1.5083,0.3681,-0.2988,0.6286,-0.5902,6.8273,2.5276,0.4799,-0.4377,-0.4382
851,5911,108,5,running,1.6193,-0.0086,4.5479,0.9077,0.014,2.0307,3.5548,1.9087,0.5094,-1.6544,-2.9393,-0.167,-1.6154,-0.0973,0.2783,-0.0481,-0.3472,2.2437,-1.682,-5.7233,1.9236,6.2693,-0.6636,-0.0639,-0.2974,3.8551,-0.6489,-0.4952,0.0462,-0.3587,0.0547,4.5849,0.9744,0.4245,-0.139,0.4194
