candidate_id,window_id,subject_id,activity_id,activity_name,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28,value_29,value_30,value_31,value_32,value_33,value_34,value_35
0,5060,108,2,sitting,,,,,,,,,,,,,0.0193,0.0377,-0.0207,-0.0254,,,,,,,,,,,,,,,,,,,,
1,5061,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,-0.0079,0.0205,0.0057,0.0189,,,,,,,,,,
2,5062,108,2,sitting,,0.0244,0.0081,0.0171,-0.0083,0.0264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5063,108,2,sitting,,,,,,,,,,,,,,,,,,,0.0138,-0.0143,0.0095,-0.0159,0.0191,-0.0577,0.0569,0.0561,0.0294,0.0254,-0.1897,-0.0871,0.0078,0.0247,-0.0585,0.0786,-0.1393,0.0263
4,5064,108,2,sitting,,,0.0152,0.0467,0.0223,0.0222,-0.0092,-0.0045,0.3691,0.0051,0.0165,0.0087,,,,,,,,,,,,,,,,,,,,,,,,
5,5065,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0232,0.0095,-0.2173,0.0189,-0.0578,0.0077,0.0221,0.0788,-0.1104,-0.0223
6,5066,108,2,sitting,,0.0199,0.0228,-0.0097,-0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5067,108,2,sitting,,0.0208,0.0081,-0.0323,0.0582,0.0097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5068,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,5069,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0222,0.0239,-0.195,-0.0238,-0.035,0.0231,0.0046,0.0292,-0.0285,-0.014
10,5070,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0094,-0.0217,-0.1011,0.0174,-0.0162,0.0168,0.0255,0.0056,-0.0952,-0.0063
11,5071,108,2,sitting,,,,,0.0285,0.0576,0.0178,0.0206,-0.5894,0.0084,0.0247,0.0192,-0.0195,-0.1505,-0.0175,-0.0193,,,,,,,,,,,,,,,,,,,,
12,5072,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,5073,108,2,sitting,,0.0232,-0.0155,-0.0139,-0.0053,0.0096,0.0144,0.0006,0.5898,0.0045,0.0065,-0.0089,-0.0256,0.1056,-0.0052,0.0567,-0.0163,0.0142,0.0183,-0.0205,-0.0223,-0.0169,0.0876,-0.0593,0.014,0.0202,0.0221,0.0254,-0.1674,-0.046,,,,,,
14,5074,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,5075,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0228,0.0095,-0.1881,-0.0247,0.0467,-0.0256,0.0262,0.0239,-0.136,-0.0074
16,5076,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0189,-0.0254,-0.2166,-0.0238,,,,,,
17,5077,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,5078,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,5079,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,5080,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,5081,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0253,0.0294,0.0184,0.0244,0.0237,-0.1308,-0.0206
22,5082,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,5083,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,5084,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,5085,108,2,sitting,,,,,,,,,,,,,,,,,-0.0078,-0.032,-0.0323,-0.0221,0.0188,-0.0208,-0.0962,0.0253,0.0182,0.0168,0.036,-0.0345,-0.2166,-0.0247,0.0206,-0.0066,0.0232,0.0546,-0.1127,-0.0237
26,5086,108,2,sitting,,,,,,,,,,,,,,,,,0.0208,0.009,-0.0074,-0.0177,-0.0137,0.0038,-0.0194,0.0373,0.033,0.0152,-0.0091,0.0088,-0.2165,-0.0076,-0.031,-0.0039,0.017,0.0238,-0.1508,-0.0189
27,5087,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,5088,108,2,sitting,,,,,,,,,,,,,,,,,,,0.0085,0.0059,0.017,-0.0163,0.0343,-0.0881,-0.0255,0.0164,0.0255,0.0232,-0.1697,-0.027,0.044,-0.0247,0.0092,0.0062,-0.1556,0.0294
29,5089,108,2,sitting,,-0.0085,0.0208,-0.045,-0.0061,-0.0237,0.0239,0.0079,0.2676,0.0222,0.0231,0.0464,,,,,,,,,,,,,,,,,,,,,,,,
30,5090,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,5091,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,5092,108,2,sitting,,,,,,,,,,,,,,,,,,,0.0266,-0.0232,-0.0247,0.0146,0.0157,-0.0859,0.024,0.0246,0.0255,0.0374,,,,,,,,
33,5093,108,2,sitting,,,,,-0.0146,0.0087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,5094,108,2,sitting,,0.0205,-0.014,0.0374,-0.0958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,5095,108,2,sitting,,,,,,,,,,,,,,,,,-0.0072,-0.0092,-0.0142,0.0167,0.0138,-0.0232,0.0207,0.0163,0.0084,0.0162,-0.0175,0.0237,-0.2306,-0.0589,0.0239,0.0232,0.0145,0.0165,-0.1194,-0.0223
36,5096,108,2,sitting,,,,,,,-0.0094,0.0036,0.5408,0.0063,-0.0064,-0.0038,-0.0241,-0.2259,0.0178,-0.0083,0.0222,0.0158,0.009,0.0037,-0.0088,-0.0189,-0.0059,-0.0539,-0.0255,0.0145,0.0238,-0.0237,-0.2166,-0.0147,0.036,0.0235,0.0156,0.0232,-0.1304,-0.0197
37,5097,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,5098,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1196,-0.0158
39,5099,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,5100,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,5101,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0228,-0.0238,-0.1773,-0.0154,0.0897,0.0206,0.0202,0.0771,-0.1306,-0.0399
42,5102,108,2,sitting,,,-0.0036,0.014,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,5103,108,2,sitting,,,,,,,,,,,,,,,,,-0.0158,-0.0207,-0.0055,-0.0093,-0.0232,-0.0042,-0.0207,-0.1017,0.0301,0.0162,0.006,0.009,-0.2173,-0.0163,0.0085,0.0167,0.0227,0.0178,-0.0791,0.024
44,5104,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,5105,108,2,sitting,,,-0.0232,0.0855,-0.0849,-0.0208,-0.0088,0.0137,0.5276,0.0089,-0.0087,-0.0059,-0.0255,-0.3682,-0.048,0.0157,-0.0264,-0.0092,0.0065,0.0063,-0.0174,-0.0051,0.0168,0.0292,-0.0253,0.0177,0.0263,-0.027,-0.1791,-0.0475,-0.0169,0.0202,0.0237,-0.0898,-0.1011,-0.0237
46,5106,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0547,0.0506,-0.2167,-0.0231,,,,,,
47,5107,108,2,sitting,,,,,,0.0294,-0.014,-0.0057,-0.0856,0.0158,0.0169,-0.0095,0.0254,-0.0206,-0.0253,-0.0232,0.027,0.0239,-0.0187,0.0172,0.0237,0.008,-0.0806,-0.1103,0.0585,0.0066,0.0036,-0.0039,-0.2173,-0.0099,-0.0773,-0.0207,-0.0096,0.0206,-0.0285,-0.0238
48,5108,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,5109,108,2,sitting,,,,,,,,,,,-0.0044,-0.0091,0.0065,0.0509,0.0167,-0.0232,0.0059,-0.0175,0.0221,0.0194,-0.0207,0.0096,0.0156,0.0333,-0.0199,0.0146,0.0205,0.0285,-0.1509,-0.0237,-0.0254,,,,,
50,5110,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0085,0.0083,-0.2209,-0.0232,0.0333,0.0164,0.0184,0.0096,-0.1154,0.0462
51,5111,108,2,sitting,,,,,,,,,,,,,,,,,-0.0223,0.0175,-0.0152,0.0154,0.0167,-0.0208,0.0238,-0.0468,0.0245,0.0069,0.0178,0.0247,-0.2206,-0.0462,-0.0577,0.0253,0.0254,-0.0581,-0.1307,-0.0199
52,5112,108,2,sitting,,,,,,,,,,,,,,,,-0.0222,-0.0255,-0.0193,,,,,,,,,,,,,,,,,,
53,5113,108,2,sitting,,,,,,,,,0.5862,0.02,-0.004,-0.0042,-0.0082,0.0938,-0.0092,0.0208,,,,,,,,,,,,,,,,,,,,
54,5114,108,2,sitting,,,,,,,-0.0174,-0.0087,0.5443,-0.0052,-0.0053,0.0089,,,,,,,,,,,,,,,,,,,,,,,,
55,5115,108,2,sitting,,0.1108,0.0096,0.0142,-0.0207,0.004,0.0059,0.0067,0.5079,-0.0061,0.0047,-0.0074,0.0256,-0.1492,-0.0169,-0.0598,,,,,,,,,,,,,,,,,,,,
56,5116,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,5117,108,2,sitting,,,,,,,,,,,,,,,,,0.0074,0.0137,-0.0221,-0.0077,-0.0227,-0.0188,0.0767,-0.1012,-0.0223,0.0192,0.024,-0.035,-0.2209,0.0221,-0.0544,0.0075,0.0228,-0.0781,-0.1127,0.0185
58,5118,108,2,sitting,,,,,,,,,0.5581,0.0238,0.0247,-0.0053,,,,,,,,,,,,,,,,,,,,,,,,
59,5119,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,5120,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,5121,108,2,sitting,,,,,,,,,,,,,,,,,0.0239,-0.0182,0.0154,0.0083,-0.008,0.0065,-0.0044,-0.0223,0.0058,0.0077,0.0069,0.0254,-0.2209,-0.0184,-0.0091,0.0231,-0.0228,0.0237,-0.1087,-0.0222
62,5122,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,5123,108,2,sitting,,0.0238,-0.0232,0.0208,-0.0344,-0.0255,-0.0177,0.0005,0.5863,-0.0159,-0.0186,-0.0045,,,,,,,,,,,,,,,,,,,,,,,,
64,5124,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,5125,108,2,sitting,,,,,,,,,,,,,,,,,0.0181,0.0089,-0.0156,0.0038,0.0206,0.0072,-0.0205,-0.078,-0.0207,0.0154,0.0253,0.0232,-0.1108,-0.0232,0.0086,-0.0147,0.0221,0.0052,-0.1011,-0.0255
66,5126,108,2,sitting,,,,,,,,,,,,,,,,,,,-0.0147,-0.0239,0.0187,-0.0561,-0.0077,-0.1015,-0.0245,0.0238,0.0248,-0.0253,-0.1508,0.078,0.0548,0.0192,0.0238,0.0254,-0.1138,-0.0094
67,5127,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,5128,108,2,sitting,,,,,,,-0.01,0.0152,-0.4573,0.0066,0.0142,-0.032,,,,,,,,,,,,,,,,,,,,,,,,
69,5129,108,2,sitting,,,,,,-0.0202,0.0164,-0.0148,0.5957,-0.0208,-0.0145,-0.0001,0.0947,0.6352,0.0803,0.0867,0.0201,0.0463,-0.0579,0.058,-0.0247,0.0077,-0.119,-0.1286,0.0036,0.0097,,,,,,,,,,
70,5130,108,2,sitting,,,,,,,,,,,,,,,,,0.0089,0.016,0.0202,-0.0202,0.0156,-0.0147,-0.0468,-0.0374,0.0232,0.0142,0.0206,-0.0223,-0.2165,0.0207,-0.0445,0.0065,0.0227,-0.0075,-0.1129,-0.0202
71,5131,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,5132,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,5133,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,5134,108,2,sitting,,-0.048,0.0077,0.0231,-0.0208,0.0237,0.0166,-0.0041,0.5568,-0.0158,0.0137,-0.0174,,,,,,,,,,,,,,,,,,,,,,,,
75,5135,108,2,sitting,,,,,,,,,,,,,,,,,,,-0.0237,-0.0237,-0.0237,-0.0166,-0.0206,0.0332,0.0255,0.0151,0.0252,0.0156,-0.2253,-0.0266,-0.0285,0.0162,0.0149,-0.0464,-0.1197,-0.0089
76,5136,108,2,sitting,,,,,,0.0072,-0.0062,0.0164,0.5576,0.0169,0.0089,0.0059,-0.0466,0.1195,0.0207,-0.0205,-0.0204,0.0136,-0.0547,-0.014,0.0468,-0.0043,-0.0237,0.0079,0.0167,0.0138,0.024,-0.007,-0.1852,-0.0144,-0.0255,0.0174,0.018,-0.0156,-0.1437,0.0078
77,5137,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
