candidate_id,missing_numeric_fields,missing_columns,parsed_numeric_fields,filter_reason
0,0,[],108,norm_filter
1,0,[],108,norm_filter
2,0,[],108,norm_filter
3,0,[],108,norm_filter
4,0,[],108,norm_filter
5,0,[],108,norm_filter
6,0,[],108,norm_filter
7,0,[],108,norm_filter
8,0,[],108,norm_filter
9,0,[],108,norm_filter
10,0,[],108,norm_filter
11,0,[],108,norm_filter
12,0,[],108,norm_filter
13,0,[],108,norm_filter
14,0,[],108,norm_filter
15,0,[],108,norm_filter
16,0,[],108,norm_filter
17,0,[],108,norm_filter
18,0,[],108,norm_filter
19,0,[],108,norm_filter
20,0,[],108,norm_filter
21,0,[],108,norm_filter
22,0,[],108,norm_filter
23,0,[],108,norm_filter
24,0,[],108,norm_filter
25,0,[],108,norm_filter
26,0,[],108,norm_filter
27,0,[],108,norm_filter
28,0,[],108,norm_filter
29,0,[],108,norm_filter
30,0,[],108,norm_filter
31,0,[],108,norm_filter
32,0,[],108,norm_filter
33,0,[],108,norm_filter
34,0,[],108,norm_filter
35,0,[],108,norm_filter
36,0,[],108,norm_filter
37,0,[],108,norm_filter
38,0,[],108,norm_filter
39,0,[],108,norm_filter
40,0,[],108,norm_filter
41,0,[],108,norm_filter
42,0,[],108,norm_filter
43,0,[],108,norm_filter
44,0,[],108,norm_filter
45,0,[],108,norm_filter
46,0,[],108,norm_filter
47,0,[],108,norm_filter
48,0,[],108,norm_filter
49,0,[],108,norm_filter
50,0,[],108,norm_filter
51,0,[],108,norm_filter
52,0,[],108,norm_filter
53,0,[],108,norm_filter
54,0,[],108,norm_filter
55,0,[],108,norm_filter
56,0,[],108,norm_filter
57,0,[],108,norm_filter
58,0,[],108,norm_filter
59,0,[],108,norm_filter
60,0,[],108,norm_filter
61,0,[],108,norm_filter
62,0,[],108,norm_filter
63,0,[],108,norm_filter
64,0,[],108,norm_filter
65,0,[],108,norm_filter
66,0,[],108,norm_filter
67,0,[],108,norm_filter
68,0,[],108,norm_filter
69,0,[],108,norm_filter
70,0,[],108,norm_filter
71,0,[],108,norm_filter
72,0,[],108,norm_filter
73,0,[],108,norm_filter
74,0,[],108,norm_filter
75,0,[],108,norm_filter
76,0,[],108,norm_filter
77,0,[],108,norm_filter
78,0,[],108,norm_filter
79,0,[],108,norm_filter
80,0,[],108,norm_filter
81,0,[],108,norm_filter
82,0,[],108,norm_filter
83,0,[],108,norm_filter
84,0,[],108,norm_filter
85,0,[],108,norm_filter
86,0,[],108,norm_filter
87,0,[],108,norm_filter
88,0,[],108,norm_filter
89,0,[],108,norm_filter
90,0,[],108,norm_filter
91,0,[],108,norm_filter
92,0,[],108,norm_filter
93,0,[],108,norm_filter
94,0,[],108,norm_filter
95,0,[],108,norm_filter
96,0,[],108,norm_filter
97,0,[],108,norm_filter
98,0,[],108,norm_filter
99,0,[],108,norm_filter
100,0,[],108,norm_filter
101,0,[],108,norm_filter
102,0,[],108,norm_filter
103,0,[],108,norm_filter
104,0,[],108,norm_filter
105,0,[],108,norm_filter
106,0,[],108,norm_filter
107,0,[],108,norm_filter
108,0,[],108,norm_filter
109,0,[],108,norm_filter
110,0,[],108,norm_filter
111,0,[],108,norm_filter
112,0,[],108,norm_filter
113,0,[],108,norm_filter
114,0,[],108,norm_filter
115,0,[],108,norm_filter
116,0,[],108,norm_filter
117,0,[],108,norm_filter
118,0,[],108,norm_filter
119,0,[],108,norm_filter
120,0,[],108,norm_filter
121,0,[],108,norm_filter
122,0,[],108,norm_filter
123,0,[],108,norm_filter
124,0,[],108,norm_filter
125,0,[],108,norm_filter
126,0,[],108,norm_filter
127,0,[],108,norm_filter
128,0,[],108,norm_filter
129,0,[],108,norm_filter
130,0,[],108,norm_filter
131,0,[],108,norm_filter
132,0,[],108,norm_filter
133,0,[],108,norm_filter
134,0,[],108,norm_filter
135,0,[],108,norm_filter
136,0,[],108,norm_filter
137,0,[],108,norm_filter
138,0,[],108,norm_filter
139,0,[],108,norm_filter
140,0,[],108,norm_filter
141,0,[],108,norm_filter
142,0,[],108,norm_filter
143,0,[],108,norm_filter
144,0,[],108,norm_filter
145,0,[],108,norm_filter
146,0,[],108,norm_filter
147,0,[],108,norm_filter
148,0,[],108,norm_filter
149,0,[],108,norm_filter
150,0,[],108,norm_filter
151,0,[],108,norm_filter
152,0,[],108,norm_filter
153,0,[],108,norm_filter
154,0,[],108,norm_filter
155,0,[],108,norm_filter
156,0,[],108,norm_filter
157,0,[],108,norm_filter
158,0,[],108,norm_filter
159,0,[],108,norm_filter
160,0,[],108,norm_filter
161,0,[],108,norm_filter
162,0,[],108,norm_filter
163,0,[],108,norm_filter
164,0,[],108,norm_filter
165,0,[],108,norm_filter
166,0,[],108,norm_filter
167,0,[],108,norm_filter
168,0,[],108,norm_filter
169,0,[],108,norm_filter
170,0,[],108,norm_filter
171,0,[],108,norm_filter
172,0,[],108,norm_filter
173,0,[],108,norm_filter
174,0,[],108,norm_filter
175,0,[],108,norm_filter
176,0,[],108,norm_filter
177,0,[],108,norm_filter
178,0,[],108,norm_filter
179,0,[],108,norm_filter
180,0,[],108,norm_filter
181,0,[],108,norm_filter
182,0,[],108,norm_filter
183,0,[],108,norm_filter
184,0,[],108,norm_filter
185,0,[],108,norm_filter
186,0,[],108,norm_filter
187,0,[],108,norm_filter
188,0,[],108,norm_filter
189,0,[],108,norm_filter
190,0,[],108,norm_filter
191,0,[],108,norm_filter
192,0,[],108,norm_filter
193,0,[],108,norm_filter
194,0,[],108,norm_filter
195,0,[],108,norm_filter
196,0,[],108,norm_filter
197,0,[],108,norm_filter
198,0,[],108,norm_filter
199,0,[],108,norm_filter
200,0,[],108,norm_filter
201,0,[],108,norm_filter
202,0,[],108,norm_filter
203,0,[],108,norm_filter
204,0,[],108,norm_filter
205,0,[],108,norm_filter
206,0,[],108,norm_filter
207,0,[],108,norm_filter
208,0,[],108,norm_filter
209,0,[],108,norm_filter
210,0,[],108,norm_filter
211,0,[],108,norm_filter
212,0,[],108,norm_filter
213,0,[],108,norm_filter
214,0,[],108,norm_filter
215,0,[],108,norm_filter
216,0,[],108,norm_filter
217,0,[],108,norm_filter
218,0,[],108,norm_filter
219,0,[],108,norm_filter
220,0,[],108,norm_filter
221,0,[],108,norm_filter
222,0,[],108,norm_filter
223,0,[],108,norm_filter
224,0,[],108,norm_filter
225,0,[],108,norm_filter
226,0,[],108,norm_filter
227,0,[],108,norm_filter
228,0,[],108,norm_filter
229,0,[],108,norm_filter
230,0,[],108,norm_filter
231,0,[],108,norm_filter
232,0,[],108,norm_filter
233,0,[],108,norm_filter
234,0,[],108,norm_filter
235,0,[],108,norm_filter
236,0,[],108,norm_filter
237,0,[],108,norm_filter
238,0,[],108,norm_filter
239,0,[],108,norm_filter
240,0,[],108,norm_filter
241,0,[],108,norm_filter
242,0,[],108,norm_filter
243,0,[],108,norm_filter
244,0,[],108,norm_filter
245,0,[],108,norm_filter
246,0,[],108,norm_filter
247,0,[],108,norm_filter
248,0,[],108,norm_filter
249,0,[],108,norm_filter
250,0,[],108,norm_filter
251,0,[],108,norm_filter
252,0,[],108,norm_filter
253,0,[],108,norm_filter
254,0,[],108,norm_filter
255,0,[],108,norm_filter
256,0,[],108,norm_filter
257,0,[],108,norm_filter
258,0,[],108,norm_filter
259,0,[],108,norm_filter
260,0,[],108,norm_filter
261,0,[],108,norm_filter
262,0,[],108,norm_filter
263,0,[],108,norm_filter
264,0,[],108,norm_filter
265,0,[],108,norm_filter
266,0,[],108,norm_filter
267,0,[],108,norm_filter
268,0,[],108,norm_filter
269,0,[],108,norm_filter
270,0,[],108,norm_filter
271,0,[],108,norm_filter
272,0,[],108,norm_filter
273,0,[],108,norm_filter
274,0,[],108,norm_filter
275,0,[],108,norm_filter
276,0,[],108,norm_filter
277,0,[],108,norm_filter
278,0,[],108,norm_filter
279,0,[],108,norm_filter
280,0,[],108,norm_filter
281,0,[],108,norm_filter
282,0,[],108,norm_filter
283,0,[],108,norm_filter
284,0,[],108,norm_filter
285,0,[],108,norm_filter
286,0,[],108,norm_filter
287,0,[],108,norm_filter
288,0,[],108,norm_filter
289,0,[],108,norm_filter
290,0,[],108,norm_filter
291,0,[],108,norm_filter
292,0,[],108,norm_filter
293,0,[],108,norm_filter
294,0,[],108,norm_filter
295,0,[],108,norm_filter
296,0,[],108,norm_filter
297,0,[],108,norm_filter
298,0,[],108,norm_filter
299,0,[],108,norm_filter
300,0,[],108,norm_filter
301,0,[],108,norm_filter
302,0,[],108,norm_filter
303,0,[],108,norm_filter
304,0,[],108,norm_filter
305,0,[],108,norm_filter
306,0,[],108,norm_filter
307,0,[],108,norm_filter
308,0,[],108,norm_filter
309,0,[],108,norm_filter
310,0,[],108,norm_filter
311,0,[],108,norm_filter
312,0,[],108,norm_filter
313,0,[],108,norm_filter
314,0,[],108,norm_filter
315,0,[],108,norm_filter
316,0,[],108,norm_filter
317,0,[],108,norm_filter
318,0,[],108,norm_filter
319,0,[],108,norm_filter
320,0,[],108,norm_filter
321,0,[],108,norm_filter
322,0,[],108,norm_filter
323,0,[],108,norm_filter
324,0,[],108,norm_filter
325,0,[],108,norm_filter
326,0,[],108,norm_filter
327,0,[],108,norm_filter
328,0,[],108,norm_filter
329,0,[],108,norm_filter
330,0,[],108,norm_filter
331,0,[],108,norm_filter
332,0,[],108,norm_filter
333,0,[],108,norm_filter
334,0,[],108,norm_filter
335,0,[],108,norm_filter
336,0,[],108,norm_filter
