candidate_id,window_id,subject_id,activity_id,activity_name,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28,value_29,value_30,value_31,value_32,value_33,value_34,value_35
29,5089,108,2,sitting,-0.0172,0.006,0.0183,-0.0085,-0.017,-0.0093,-0.0095,-0.024,-0.0255,-0.014,-0.0063,-0.0087,0.0058,-0.015,-0.0092,-0.0086,0.0737,0.02,0.0862,0.0286,0.0024,0.0049,0.0043,-0.01,0.059,0.0044,0.0303,0.0036,-0.0065,0.0279,-0.0064,0.0345,0.0068,0.0046,-0.0139,-0.0078
75,5135,108,2,sitting,-0.0032,0.0092,-0.0083,-0.0041,-0.017,-0.0079,0.0168,-0.0152,0.0233,-0.0044,0.0041,-0.0162,0.0139,-0.4078,0.0051,-0.0237,-0.0072,0.0242,0.0156,0.0182,-0.0077,-0.0045,0.0149,-0.0054,0.015,0.0081,0.0232,-0.0064,-0.0196,0.0233,-0.0063,0.0256,-0.0091,-0.0195,-0.0186,-0.0057
85,5145,108,2,sitting,-0.0055,-0.0062,-1.0256,-2.0,-0.0167,-3.0083,-4.0241,-0.0075,-5.0091,-6.024,-0.0086,-7.0223,-0.0157,-8.0254,-1.0195,-2.0168,-0.0082,-3.0073,-4.0185,-1.0193,-3.0071,-4.0245,-1.0097,-2.0177,-0.008,-3.0056,-2.0111,-0.0226,-1.0038,-0.0123,-0.0154,-0.0041,-1.0096,-2.0081,-0.0031,-1.0019
107,5167,108,2,sitting,-0.0094,0.0266,-0.0091,-0.0174,-0.0239,-0.0051,-0.0699,-1.1038,0.0567,-0.0796,0.479,0.0889,0.1848,-0.1535,0.0345,-0.0003,-0.0973,-0.1011,0.2461,0.2639,-0.0509,-0.2975,0.2532,0.3628,0.3397,-0.0001,0.0348,0.4098,-0.4488,0.6955,-0.0245,-0.0183,0.0053,-0.0,-0.006,0.0042
133,5193,108,2,sitting,-0.0046,-0.0168,0.0051,-0.0066,-0.0144,-0.0152,0.0326,-1.2961,0.0589,-0.0798,0.4838,0.0694,0.0836,-0.1547,0.0053,-0.0149,-0.0195,0.0234,0.0143,0.0133,-0.0247,-0.0056,-0.0059,-0.0058,0.0032,-0.0063,0.0256,0.0074,-0.0155,0.0142,-0.0088,0.0256,0.0062,0.004,-0.0035,-0.0045
140,5200,108,2,sitting,-0.0193,-0.0204,0.0094,0.0087,-0.0199,0.0055,0.029,0.487,-0.0782,-0.079,-0.3781,-0.0809,0.01,-0.9868,0.0097,0.0063,0.0059,0.0074,0.0075,0.0308,-0.005,0.0073,-0.0083,-0.0057,0.0167,0.0071,0.0291,0.0092,-0.0076,0.0079,-0.0086,0.0285,0.004,0.0043,-0.018,-0.0085
143,5203,108,2,sitting,-0.0054,0.077,0.0142,0.0052,-0.0159,-0.0056,-0.0182,-0.449,-0.0286,-0.0256,0.4577,-0.0195,0.004,0.2597,-0.0164,0.0084,-0.0073,-0.0096,0.0193,0.0194,-0.0092,-0.0086,0.0081,-0.0079,0.0168,-0.0072,0.0256,0.0088,-0.0085,0.0255,-0.0076,0.029,0.0083,0.0051,-0.0163,0.008
171,5231,108,2,sitting,-0.0068,0.5788,-0.0049,0.0056,-0.0303,-0.0152,0.0294,0.4496,-0.0364,-0.0058,-0.2208,-0.0385,0.0169,-0.1251,0.0199,0.0093,-0.0239,-0.0041,0.0249,0.0241,-0.0237,-0.0242,0.0043,0.0162,0.016,-0.0063,0.0279,0.0154,-0.0174,0.0073,-0.0091,0.0285,0.0094,-0.0067,-0.0166,0.0085
207,5267,108,3,standing,-0.0032,1.607,-0.4096,0.4793,-0.4699,-0.535,-0.0339,0.7965,-0.0086,-0.1306,-0.6476,0.0083,0.0228,-0.0247,-0.0337,-0.0208,0.0307,0.0352,-0.0878,0.059,0.0361,0.0052,-0.0051,-0.0448,0.0389,-0.0393,0.0568,0.0349,-0.1192,0.0182,0.0412,0.0166,-0.0239,-0.0054,-0.0475,-0.0577
241,5301,108,3,standing,-0.0044,0.0001,0.0167,-0.0062,-0.0185,-0.0095,-0.0303,-1.095,0.0503,-0.077,0.4625,0.0831,0.0438,-0.1537,-0.0039,-0.0023,-0.0003,0.0047,0.0279,0.0286,-0.013,0.0041,-0.0058,-0.0127,0.0088,0.0033,0.0293,0.0129,-0.0042,0.0165,-0.0051,0.029,0.0049,0.0098,-0.0189,-0.0061
