candidate_id,window_id,subject_id,activity_id,activity_name,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28,value_29,value_30,value_31,value_32,value_33,value_34,value_35
0,5060,108,2,sitting,-0.0193,-0.0072,-0.0199,0.0092,-0.0163,-0.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5061,108,2,sitting,-0.0075,-0.0199,-0.0179,-0.0077,-0.0082,-0.0081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5062,108,2,sitting,,0.0001,0.0188,-0.0237,-0.0051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5063,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0241,0.0066,-0.0,0.0176,-0.0065,,,,,
4,5064,108,2,sitting,,0.0046,-0.015,0.0063,-0.007,-0.0155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5065,108,2,sitting,,-0.0057,0.0074,0.0097,-0.0162,-0.0092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5066,108,2,sitting,,-0.1124,-0.0145,-0.0059,-0.0196,-0.0093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5067,108,2,sitting,-0.017,0.0071,-0.0092,0.0085,-0.0088,-0.0058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5068,108,2,sitting,-0.0083,-0.0156,-0.0091,0.0071,-0.0188,-0.0077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,5069,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0193,0.0091,0.0078,-0.0185,0.0097
10,5070,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,5071,108,2,sitting,,0.001,-0.0179,-0.0092,-0.008,-0.0052,,,,,,,,,,,0.0223,-0.0042,0.0233,0.0234,-0.0073,,,,,,,,,,,,,,,
12,5072,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0296,-0.0093,0.0075,0.0197,-0.0073
13,5073,108,2,sitting,-0.0145,0.0052,-0.0096,-0.0066,-0.0193,-0.0068,0.0247,0.0059,-0.0089,-0.009,-0.0047,,,,,,,,,,,,,,,,,,,,,,,,,
14,5074,108,2,sitting,,,,,,,,,-0.0163,-0.0294,-0.0,,,-0.0073,0.0094,0.004,,-0.0083,0.0078,0.0195,-0.0068,-0.0099,0.0077,-0.008,0.0079,-0.0096,,,,,,,,,,
15,5075,108,2,sitting,,,,,-0.0183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,5076,108,2,sitting,-0.0175,-0.0189,-0.0094,-0.0186,-0.0197,-0.0043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,5077,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014,-0.0067,,,,,
18,5078,108,2,sitting,,-0.0084,-0.0083,-0.0071,-0.0082,-0.0039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,5079,108,2,sitting,,0.0052,-0.0044,0.0091,-0.015,-0.0109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,5080,108,2,sitting,,-0.0094,-0.0054,0.0006,-0.0081,0.0058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,5081,108,2,sitting,,0.0063,-0.009,-0.0043,-0.0068,-0.0173,0.0156,-0.085,-0.0079,-0.0174,-0.1019,-0.0175,0.0172,-0.0294,-0.0037,0.0089,,,,,,,,,,,,,,,,,,,,
22,5082,108,2,sitting,,-0.0043,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,5083,108,2,sitting,,,,,,,,,,,,-0.0284,0.0182,-0.7855,-0.0089,-0.0197,,,,,,,,,,,,,,,,,,,,
24,5084,108,2,sitting,,-0.0071,0.0063,0.0077,-0.0189,-0.0078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,5085,108,2,sitting,-0.0184,-0.0169,0.0092,-0.0094,-0.008,-0.0154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,5086,108,2,sitting,,-0.0072,-0.0099,-0.0183,-0.0097,-0.0074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,5087,108,2,sitting,-0.0147,0.0148,0.0088,-0.0076,-0.0095,-0.0063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,5088,108,2,sitting,-0.0174,0.1012,0.0066,-0.006,-0.0098,-0.0082,-0.0078,-0.0,-0.0187,-0.0204,-0.0095,-0.0228,0.0068,-0.0175,-0.0077,0.0009,,,,,,,,,,,,,,,,,,,,
29,5089,108,2,sitting,-0.0172,0.006,0.0183,-0.0085,-0.017,-0.0093,-0.0095,-0.024,-0.0255,-0.014,-0.0063,-0.0087,0.0058,-0.015,-0.0092,-0.0086,0.0737,0.02,0.0862,0.0286,0.0024,0.0049,0.0043,-0.01,0.059,0.0044,0.0303,0.0036,-0.0065,0.0279,-0.0064,0.0345,0.0068,0.0046,-0.0139,-0.0078
30,5090,108,2,sitting,,0.0081,0.008,-0.0093,-0.0092,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,5091,108,2,sitting,,-0.0168,0.0092,-0.0089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,5092,108,2,sitting,,,,,,,,,,-0.0174,-0.0048,-0.0299,0.0201,-0.0084,-0.0152,0.0054,,,,,,,,,,,,,,,,,,,,
33,5093,108,2,sitting,,0.0001,-0.0042,0.0094,-0.0197,-0.005,0.0238,-0.0037,-0.0375,-0.0174,-0.0159,-0.0245,0.0067,-0.0062,-0.0085,0.0009,,,,,,,,,,,,,,,,,,,,
34,5094,108,2,sitting,,-0.0152,-0.0063,-0.0175,-0.0176,-0.0059,0.0069,-0.01,-0.0201,-0.005,0.0071,-0.0077,0.0155,-0.0223,-0.0197,0.0093,-0.0166,0.0167,0.016,0.0073,-0.0183,-0.0164,-0.0079,-0.0095,0.0044,-0.0048,0.0256,0.0091,-0.0086,0.0257,-0.0042,0.0293,0.0068,0.0085,-0.0162,0.0004
35,5095,108,2,sitting,,0.001,0.0055,-0.0075,-0.0047,-0.0068,0.0153,0.4496,-0.0163,-0.0201,-0.3799,-0.0207,0.0188,-0.0286,-0.0148,-0.0072,,,,,,,,,,,,,,,,,,,,
36,5096,108,2,sitting,,-0.0091,-0.0057,-0.0072,-0.0064,-0.0062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,5097,108,2,sitting,,0.0094,-0.0096,-0.0166,-0.0092,-0.0086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,5098,108,2,sitting,,0.0071,-0.0066,0.0038,-0.0118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,5099,108,2,sitting,,-0.0186,-0.0064,-0.015,-0.0073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,5100,108,2,sitting,,-0.0083,0.0092,-0.0045,-0.0187,-0.0094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,5101,108,2,sitting,,0.0086,-0.0194,0.0185,-0.0193,-0.0199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,5102,108,2,sitting,-0.0142,0.0086,0.008,-0.0066,-0.0191,-0.0077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,5103,108,2,sitting,,,,,,,0.006,-0.0953,-0.037,-0.0286,-0.0508,-0.0241,0.0249,-0.0238,-0.0165,0.0046,-0.0045,-0.0044,0.0148,0.0178,-0.0072,-0.0076,-0.0095,-0.0092,0.0185,-0.0079,0.0256,0.0091,-0.0151,0.0193,-0.0037,0.0298,0.0082,-0.0073,-0.0074,0.0077
44,5104,108,2,sitting,,-0.0097,0.0072,-0.006,-0.0071,-0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,5105,108,2,sitting,,0.0193,-0.0195,-0.0082,-0.0096,-0.0172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,5106,108,2,sitting,-0.0064,0.0179,0.0092,-0.0167,-0.0048,-0.0173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,5107,108,2,sitting,,-0.0106,-0.0083,-0.0096,-0.0171,0.0047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,5108,108,2,sitting,-0.0086,0.0106,-0.0041,-0.0038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,5109,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,5110,108,2,sitting,,0.0082,-0.0096,-0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,5111,108,2,sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,-0.0083,,,,,,,,
