[train] project_root=/scratch/work/yangs9/ChatTS
[train] config=config/pamap2_sdforger_gpt2.yaml
[train] python=/scratch/work/yangs9/ChatTS/.conda-env/bin/python
Sun Apr 19 17:04:58 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.105.08             Driver Version: 580.105.08     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-SXM2-16GB           On  |   00000000:06:00.0 Off |                    0 |
| N/A   31C    P0             44W /  300W |       0MiB /  16384MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[2026-04-19 17:05:14,980] [INFO] [real_accelerator.py:254:get_accelerator] Setting ds_accelerator to cuda (auto detect)
{'loss': 1.3399, 'grad_norm': 2.5144903659820557, 'learning_rate': 8.674698795180724e-06, 'epoch': 0.04}
{'loss': 1.1991, 'grad_norm': 1.7831089496612549, 'learning_rate': 1.8313253012048194e-05, 'epoch': 0.07}
{'loss': 1.0746, 'grad_norm': 1.5389066934585571, 'learning_rate': 2.7951807228915666e-05, 'epoch': 0.11}
{'loss': 0.983, 'grad_norm': 1.6893559694290161, 'learning_rate': 3.759036144578314e-05, 'epoch': 0.14}
{'loss': 0.9549, 'grad_norm': 1.3970105648040771, 'learning_rate': 4.7228915662650604e-05, 'epoch': 0.18}
{'loss': 0.9466, 'grad_norm': 1.7330831289291382, 'learning_rate': 5.6867469879518076e-05, 'epoch': 0.22}
{'loss': 0.9407, 'grad_norm': 1.8627820014953613, 'learning_rate': 6.650602409638555e-05, 'epoch': 0.25}
{'loss': 0.9382, 'grad_norm': 1.5082745552062988, 'learning_rate': 7.614457831325302e-05, 'epoch': 0.29}
{'loss': 0.9308, 'grad_norm': 1.7145142555236816, 'learning_rate': 7.982069480762047e-05, 'epoch': 0.33}
{'loss': 0.9336, 'grad_norm': 1.5995280742645264, 'learning_rate': 7.952185282032127e-05, 'epoch': 0.36}
{'eval_loss': 0.9244852066040039, 'eval_runtime': 14.7431, 'eval_samples_per_second': 44.02, 'eval_steps_per_second': 5.562, 'epoch': 0.36}
