[train] project_root=/scratch/work/yangs9/ChatTS
[train] config=config/pamap2_sdforger_llama32_3b_5class_v2_hand_chest.yaml
[train] python=/scratch/work/yangs9/ChatTS/.conda-env/bin/python
Sat May 16 18:29:55 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.126.20             Driver Version: 580.126.20     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-SXM2-16GB           On  |   00000000:89:00.0 Off |                    0 |
| N/A   36C    P0             44W /  300W |       0MiB /  16384MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
{'loss': 1.2765, 'grad_norm': 0.23903514444828033, 'learning_rate': 4.2857142857142856e-05, 'epoch': 0.04}
{'loss': 1.0809, 'grad_norm': 0.49972498416900635, 'learning_rate': 9.047619047619048e-05, 'epoch': 0.07}
{'loss': 0.9065, 'grad_norm': 0.15665747225284576, 'learning_rate': 0.0001380952380952381, 'epoch': 0.11}
{'loss': 0.8905, 'grad_norm': 0.10754497349262238, 'learning_rate': 0.00018571428571428572, 'epoch': 0.15}
{'loss': 0.8814, 'grad_norm': 0.07966633141040802, 'learning_rate': 0.00019895366218236174, 'epoch': 0.18}
{'loss': 0.88, 'grad_norm': 0.20491468906402588, 'learning_rate': 0.00019745889387144994, 'epoch': 0.22}
{'loss': 0.8671, 'grad_norm': 0.09607221186161041, 'learning_rate': 0.00019596412556053815, 'epoch': 0.25}
{'loss': 0.8604, 'grad_norm': 0.14100860059261322, 'learning_rate': 0.00019446935724962632, 'epoch': 0.29}
{'loss': 0.8516, 'grad_norm': 0.13430897891521454, 'learning_rate': 0.00019297458893871453, 'epoch': 0.33}
{'loss': 0.8459, 'grad_norm': 0.15015459060668945, 'learning_rate': 0.0001914798206278027, 'epoch': 0.36}
{'eval_loss': 0.8197355270385742, 'eval_runtime': 81.7075, 'eval_samples_per_second': 7.943, 'eval_steps_per_second': 7.943, 'epoch': 0.36}
{'loss': 0.8421, 'grad_norm': 0.1369698941707611, 'learning_rate': 0.0001899850523168909, 'epoch': 0.4}
{'loss': 0.8521, 'grad_norm': 0.09503242373466492, 'learning_rate': 0.0001884902840059791, 'epoch': 0.44}
{'loss': 0.8618, 'grad_norm': 0.13024568557739258, 'learning_rate': 0.0001869955156950673, 'epoch': 0.47}
{'loss': 0.8151, 'grad_norm': 0.1202898770570755, 'learning_rate': 0.00018550074738415547, 'epoch': 0.51}
{'loss': 0.8213, 'grad_norm': 0.14641746878623962, 'learning_rate': 0.00018400597907324367, 'epoch': 0.54}
{'loss': 0.8292, 'grad_norm': 0.12374959141016006, 'learning_rate': 0.00018251121076233185, 'epoch': 0.58}
{'loss': 0.8388, 'grad_norm': 0.11855880171060562, 'learning_rate': 0.00018101644245142006, 'epoch': 0.62}
{'loss': 0.8242, 'grad_norm': 0.09898979216814041, 'learning_rate': 0.00017952167414050823, 'epoch': 0.65}
{'loss': 0.8392, 'grad_norm': 0.10524649173021317, 'learning_rate': 0.00017802690582959644, 'epoch': 0.69}
{'loss': 0.8195, 'grad_norm': 0.10645002126693726, 'learning_rate': 0.00017653213751868461, 'epoch': 0.73}
{'eval_loss': 0.8204036951065063, 'eval_runtime': 81.549, 'eval_samples_per_second': 7.958, 'eval_steps_per_second': 7.958, 'epoch': 0.73}
{'loss': 0.8184, 'grad_norm': 0.11046715825796127, 'learning_rate': 0.00017503736920777282, 'epoch': 0.76}
{'loss': 0.8366, 'grad_norm': 0.09280217438936234, 'learning_rate': 0.000173542600896861, 'epoch': 0.8}
{'loss': 0.8253, 'grad_norm': 0.10222860425710678, 'learning_rate': 0.00017204783258594917, 'epoch': 0.83}
{'loss': 0.821, 'grad_norm': 0.10265558212995529, 'learning_rate': 0.00017055306427503738, 'epoch': 0.87}
{'loss': 0.8337, 'grad_norm': 0.1146596372127533, 'learning_rate': 0.00016905829596412556, 'epoch': 0.91}
{'loss': 0.8315, 'grad_norm': 0.10409620404243469, 'learning_rate': 0.00016756352765321376, 'epoch': 0.94}
{'loss': 0.8344, 'grad_norm': 0.10686565935611725, 'learning_rate': 0.00016606875934230194, 'epoch': 0.98}
{'loss': 0.8298, 'grad_norm': 0.09598764777183533, 'learning_rate': 0.00016457399103139014, 'epoch': 1.01}
{'loss': 0.829, 'grad_norm': 0.12086351960897446, 'learning_rate': 0.00016307922272047832, 'epoch': 1.05}
{'loss': 0.8253, 'grad_norm': 0.11361006647348404, 'learning_rate': 0.00016158445440956652, 'epoch': 1.09}
{'eval_loss': 0.8161367177963257, 'eval_runtime': 81.5235, 'eval_samples_per_second': 7.961, 'eval_steps_per_second': 7.961, 'epoch': 1.09}
{'loss': 0.8225, 'grad_norm': 0.09470241516828537, 'learning_rate': 0.0001600896860986547, 'epoch': 1.12}
{'loss': 0.8346, 'grad_norm': 0.11222173273563385, 'learning_rate': 0.0001585949177877429, 'epoch': 1.16}
{'loss': 0.8213, 'grad_norm': 0.11662893742322922, 'learning_rate': 0.00015710014947683108, 'epoch': 1.2}
{'loss': 0.8131, 'grad_norm': 0.09901224076747894, 'learning_rate': 0.0001556053811659193, 'epoch': 1.23}
{'loss': 0.8171, 'grad_norm': 0.11820792406797409, 'learning_rate': 0.00015411061285500747, 'epoch': 1.27}
{'loss': 0.8071, 'grad_norm': 0.09621386229991913, 'learning_rate': 0.00015261584454409567, 'epoch': 1.3}
{'loss': 0.8216, 'grad_norm': 0.096090167760849, 'learning_rate': 0.00015112107623318385, 'epoch': 1.34}
