activity_name,num_real,num_synthetic,MDD,ACD,SD,KD,ED,DTW,model,subset,prefix
cycling,128,128,0.0456977188587188,0.3433353317937004,0.0143753308802843,22.73398481801276,110.47574615478516,202.5381692363266,GPT-2,18ch full,gpt2_5class_v2_compact
running,114,114,2.0984387397766118,0.343340860080809,0.0194506105035543,7.244167397588007,597.5647583007812,705.4474755601744,GPT-2,18ch full,gpt2_5class_v2_compact
sitting,128,128,1.0761138200759888,0.3074801937007331,0.0150973051786422,191.18348341525552,263.1703186035156,400.91424792415313,GPT-2,18ch full,gpt2_5class_v2_compact
standing,128,128,0.5841389298439026,0.2822528355629493,0.0133878979831933,26.5679217856094,93.87036895751952,181.6753835266492,GPT-2,18ch full,gpt2_5class_v2_compact
walking,128,128,0.5027904510498047,0.269664390816997,0.0149524249136447,2.3793521895594805,112.45883178710938,202.86561877474176,GPT-2,18ch full,gpt2_5class_v2_compact
cycling,128,128,0.1122055649757385,0.2313779701191628,0.0114801824092864,32.39221490079732,75.86153411865234,152.73282004904144,Gemma 2 2B,18ch full,gemma_5class_v2
running,115,115,1.743269681930542,0.3684173405016908,0.0170368179678916,5.422874705751784,378.63385009765625,559.8874205513146,Gemma 2 2B,18ch full,gemma_5class_v2
sitting,128,128,0.9235048294067384,0.2875653397340524,0.0159578528255224,189.72228774388117,252.04661560058597,331.1130114734242,Gemma 2 2B,18ch full,gemma_5class_v2
standing,128,128,0.7791456580162048,0.2332587940283924,0.0123703246936202,31.67406022259921,113.24689483642578,203.6159662634309,Gemma 2 2B,18ch full,gemma_5class_v2
walking,128,128,0.4988332390785217,0.3133618140131291,0.0129227600991725,2.1643764189312007,98.96402740478516,163.33206957612452,Gemma 2 2B,18ch full,gemma_5class_v2
cycling,128,128,0.1141979098320007,0.2382969734249276,0.0153990937396883,23.963814164527196,54.79362869262695,115.23714629014528,Llama 3.2 3B,18ch full,llama32_3b_5class_v2
running,115,115,1.743858814239502,0.3890114840298157,0.0183791127055883,5.437512584774651,405.24853515625,621.1135561621761,Llama 3.2 3B,18ch full,llama32_3b_5class_v2
sitting,128,128,0.9383667707443236,0.3037112916920015,0.0146643854677677,180.4495038178849,253.397216796875,342.2606878166516,Llama 3.2 3B,18ch full,llama32_3b_5class_v2
standing,128,128,0.9143109917640686,0.249830654940482,0.012656576000154,31.27137693258316,118.8518295288086,235.74754693281244,Llama 3.2 3B,18ch full,llama32_3b_5class_v2
walking,128,128,0.5009410381317139,0.3364910055602014,0.0131695177406072,5.804558509116521,99.4543685913086,187.4459028345995,Llama 3.2 3B,18ch full,llama32_3b_5class_v2
cycling,128,128,0.2776407599449157,0.3301773839591128,0.0125655904412269,27.95447587447791,62.0755729675293,170.07241993684633,GPT-2,12ch hand+chest,gpt2_5class_v2_hand_chest
running,21,21,2.712782859802246,0.3078638528353967,0.0241732895374298,1.821689017079328,620.4048461914062,837.0421759766759,GPT-2,12ch hand+chest,gpt2_5class_v2_hand_chest
sitting,128,128,1.7974474430084229,0.3057975629783375,0.0136122182011604,43.86363392149588,259.262939453125,465.8282754100116,GPT-2,12ch hand+chest,gpt2_5class_v2_hand_chest
standing,128,128,1.478915095329285,0.2437565028955933,0.0104296654462814,19.986149421592422,154.9829559326172,378.6822154920471,GPT-2,12ch hand+chest,gpt2_5class_v2_hand_chest
walking,128,128,0.7389228940010071,0.3241478248161426,0.0134332301095128,2.194519068866207,100.0384521484375,211.20156962526136,GPT-2,12ch hand+chest,gpt2_5class_v2_hand_chest
cycling,128,128,0.0824189484119415,0.225923127837425,0.0112728858366608,29.70354484964139,38.14920425415039,100.5001876896422,Gemma 2 2B,12ch hand+chest,gemma_5class_v2_hand_chest
running,115,115,1.6339383125305176,0.3788227217617064,0.0170992482453584,1.8723867403277417,336.6954345703125,594.9438344982336,Gemma 2 2B,12ch hand+chest,gemma_5class_v2_hand_chest
sitting,128,128,1.7063777446746826,0.2981246753662205,0.0129338698461651,52.590943536737136,249.1667938232422,454.83951436021135,Gemma 2 2B,12ch hand+chest,gemma_5class_v2_hand_chest
standing,128,128,0.5465885996818542,0.2422056510302482,0.0104789575561881,30.96789765469067,80.85303497314453,152.5089443864381,Gemma 2 2B,12ch hand+chest,gemma_5class_v2_hand_chest
walking,128,128,0.3941317498683929,0.3014919194865386,0.0125643908977508,2.139322431506138,85.78673553466797,143.1680533140728,Gemma 2 2B,12ch hand+chest,gemma_5class_v2_hand_chest
cycling,128,128,0.1585340797901153,0.1923062207724916,0.0122499139979481,24.67165937730351,41.714656829833984,118.54115813122674,Llama 3.2 3B,12ch hand+chest,llama32_3b_5class_v2_hand_chest
running,114,114,1.608532190322876,0.3441699475794217,0.017862619832158,2.099897263172835,337.9366149902344,599.9623391711066,Llama 3.2 3B,12ch hand+chest,llama32_3b_5class_v2_hand_chest
sitting,128,128,1.3447550535202026,0.325069837471692,0.0127781815826892,53.54700588194493,231.52931213378903,386.64990837211735,Llama 3.2 3B,12ch hand+chest,llama32_3b_5class_v2_hand_chest
standing,128,128,0.8525415658950806,0.2605739896621594,0.0106756286695599,33.52789969423835,102.99122619628906,229.9558283306918,Llama 3.2 3B,12ch hand+chest,llama32_3b_5class_v2_hand_chest
walking,128,128,0.6391578912734985,0.3454844295039082,0.012763219885528,9.147680657097482,89.743896484375,186.738202774856,Llama 3.2 3B,12ch hand+chest,llama32_3b_5class_v2_hand_chest
