variant,epoch,base_dataset,valid_generated,num_prompts,generated_running,generated_walking,parse_success,duplicate_ratio,ED,DTW,SHR,MDD,ACD,SD,KD,real_baseline_ED,real_baseline_DTW,ED_vs_real_baseline,DTW_vs_real_baseline,real_only_acc,synthetic_only_acc,real_plus_synthetic_acc,real_only_macro_f1,synthetic_only_macro_f1,real_plus_synthetic_macro_f1
full,5epoch,full,83,305,27,56,305,0.0,90.30399045868523,7201.413304142694,33.381908655318355,0.1939347479506551,1.4955137226545532,0.7153918853936136,3.915431155389752,81.1251163482666,65.94627576646376,1.1131446649766779,109.20121296379396,0.980327868852459,0.3901639344262295,0.9836065573770492,0.978913163716814,0.3305720758991787,0.9823953823953824
hand,5epoch,hand,226,305,82,144,304,0.0,96.28844521103836,4194.599886723556,9.50798911876976,0.0905617906671626,1.035344550438591,0.5828369199918535,3.653435809641171,46.65707015991211,61.03399825384258,2.0637482139581427,68.72562844855854,0.9770491803278688,0.921311475409836,0.9770491803278688,0.9753535353535354,0.917321767416644,0.9753535353535354
chest,5epoch,chest,213,305,102,111,305,0.0,41.36295936217559,1926.9025503911223,18.10279510363534,0.3411716509431918,1.8571745134216693,0.7453581487272762,6.45144854028999,27.801892280578613,31.83278213569489,1.4877749667086597,60.532018287852964,0.9639344262295082,0.3836065573770492,0.9639344262295082,0.9608193485851756,0.2970971854467,0.9608193485851756
hand_acc,5epoch,hand_acc,181,305,71,110,305,0.0,157.54001010083968,3969.9696441399674,35.55646476343522,0.0467733131601839,1.4636126969018148,1.0666189926047076,4.3139595135843205,45.347083568573,100.33930618005496,3.4740935403841497,39.5654484297112,0.980327868852459,0.3868852459016393,0.960655737704918,0.9788351221317542,0.302656836493905,0.9582649151614668
chest_acc,5epoch,chest_acc,274,305,110,164,305,0.0,72.23266100917351,1934.727670495128,66.76200243140133,0.0932148455517703,2.126839699102008,1.5584198475892197,11.292136488880049,27.61069393157959,56.19789067997287,2.616111756849319,34.42705139082032,0.9672131147540984,0.2196721311475409,0.9639344262295082,0.9644522144522144,0.2038475037290515,0.960974304691226
hand_gyro,5epoch,hand_gyro,202,305,94,108,305,0.0,36.901057048633966,974.8569931159813,0.2408602762758421,0.1755578162258789,0.8150430350440208,0.2173392481360499,29.71245422107432,10.906134247779846,21.728690327630225,3.383513920722724,44.864967856638465,0.7377049180327869,0.3868852459016393,0.6885245901639344,0.6783718232626805,0.302656836493905,0.5891527827011698
chest_gyro,5epoch,chest_gyro,249,305,101,148,303,0.0,10.192659456098433,226.2110479597346,0.6033370957610721,0.4128777145258069,1.8255448736367643,0.5171209694020454,2.15013640845785,3.209659069776535,7.467673591416921,3.175620598485581,30.292037431809224,0.9639344262295082,0.3737704918032787,0.9540983606557376,0.9611244365650456,0.2913792893722098,0.9502331002331004
hand_ep10,10epoch,hand,75,305,39,36,305,0.0,101.3932218184838,4443.259887063797,8.716510241496612,0.1241835556462994,1.073856630018036,0.7095835972722419,3.9794659393189806,46.65707015991211,61.03399825384258,2.1731587832448414,72.79975119087102,0.9770491803278688,0.819672131147541,0.9770491803278688,0.9753535353535354,0.8174030412870501,0.9753535353535354
hand_ep20,20epoch,hand,139,305,52,87,304,0.0,96.9341101823498,4259.625910700237,11.522105542990282,0.1152680327377452,1.2178852852784212,0.5791590583753203,3.80365291865726,46.65707015991211,61.03399825384258,2.077586737660949,69.79103503893519,0.9770491803278688,0.3770491803278688,0.9737704918032788,0.9753535353535354,0.2968598330421277,0.9718842182890854
chest_gyro_ep10,10epoch,chest_gyro,294,305,115,179,304,0.0,9.911306753224167,221.82844308040063,0.3624864755133889,0.424172664160052,1.7892456757090698,0.533802494414063,2.67149067913724,3.209659069776535,7.467673591416921,3.087962471326968,29.705160565046974,0.9639344262295082,0.3704918032786885,0.9540983606557376,0.9611244365650456,0.2858536585365854,0.9504272313550663
chest_gyro_ep20,20epoch,chest_gyro,301,305,114,187,304,0.0,10.119942308640468,225.34116867865256,0.622925382903431,0.4275814213363333,1.8450677787667773,0.4976010485649327,3.0187808194877093,3.209659069776535,7.467673591416921,3.1529648752834816,30.175551451211216,0.9639344262295082,0.3704918032786885,0.960655737704918,0.9611244365650456,0.2858536585365854,0.9575090554471998
chest_ep10,10epoch,chest,298,305,110,188,305,0.0,43.25508457964117,1663.3896561542028,23.222408723415818,0.227333569142085,1.7236268594518345,0.6165774790729838,1.659671402814909,27.801892280578613,31.83278213569489,1.5558323923820678,52.253982987211245,0.9639344262295082,0.380327868852459,0.9704918032786886,0.9608193485851756,0.2951986208414334,0.9680698856564576
chest_ep20,20epoch,chest,74,305,28,46,305,0.0,42.69577009929633,2077.442726983093,22.687510944864275,0.5049353569978332,1.9884149491317369,0.8982808690707079,13.072168783405203,27.801892280578613,31.83278213569489,1.5357145358455344,65.2611109556021,0.9639344262295082,0.6262295081967213,0.9639344262295082,0.9608193485851756,0.448934956257132,0.9608193485851756
