candidate_id,window_id,subject_id,activity_id,activity_name,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28,value_29,value_30,value_31,value_32,value_33,value_34,value_35
275,5887,108,5,running,0.3889,-0.2222,0.233,-3.7463,-0.1542,0.4019,-0.0351,0.3485,0.0424,0.2133,0.2125,-3.3386,0.3138,-0.1256,-1.0717,0.5256,0.5675,0.7571,-3.1196,1.0084,-0.232,0.3214,-0.0763,-0.6066,1.3434,-0.3951,-1.2118,0.3344,1.5739,0.1806,1.7039,-1.0885,-0.079,-2.1175,1.2749,-1.4634
259,5871,108,5,running,2.5707,-0.3729,0.2641,-1.1133,-0.0688,-2.4629,-0.6021,0.1129,1.5434,1.112,0.4324,-1.1169,1.4889,2.164,-1.2524,1.2097,2.1384,0.4007,-1.8348,2.6287,1.531,0.0767,-1.2553,-0.2516,-2.041,-1.1481,-1.5192,-0.0071,-1.4524,-1.6456,0.7621,-0.6344,-1.2035,-1.1428,0.5807,0.71
247,5859,108,5,running,2.8415,0.096,-0.627,0.4679,0.834,-0.204,1.3705,-2.4871,-1.6038,-0.2425,-0.7729,-0.3683,1.5078,1.4022,0.4532,-1.6472,-0.7258,1.2558,-1.1224,-0.7477,0.1545,-0.5473,-0.0423,0.6566,-0.4746,-1.1567,1.2379,-1.8625,-1.5394,-0.0023,-1.4227,1.3724,1.0591,0.5013,-2.6305,0.6687
278,5890,108,5,running,0.1185,-1.5633,0.2316,0.5136,-1.2793,-0.2326,0.1083,-3.5362,0.2917,0.7279,2.0051,1.1571,-1.0252,-0.5857,0.2754,-0.5151,-1.7751,1.2517,-1.2469,1.0432,2.2564,0.8146,-0.1474,1.5735,1.2602,-0.2093,-0.0635,0.5073,1.2858,-1.3206,0.863,-2.6807,-1.1087,-1.3404,-0.7642,0.2382
243,5855,108,5,running,-1.3267,-2.6737,-1.7532,-1.2897,-0.5186,0.8548,-0.0702,1.0326,-2.2257,0.0456,0.2,-0.6433,0.8348,1.2473,0.1282,-0.4107,0.1337,0.3644,-1.0003,0.4361,1.3546,-1.3447,0.5203,-1.0808,0.3063,0.0467,0.5452,0.4869,1.5405,-1.5485,1.4342,-0.0456,0.28,0.161,-0.4465,0.4182
227,5839,108,5,running,-0.457,0.3317,1.1491,0.782,0.3707,-2.3149,0.6825,-1.3499,-0.0984,-3.403,-1.7601,-0.7658,1.7226,0.2207,1.0232,1.3447,-0.5885,-0.76,-0.6313,0.3489,-1.1029,-0.4779,-1.1204,0.0048,0.0226,-1.004,1.8234,-0.7116,-0.3839,-0.1469,-1.615,-0.4715,-0.4164,2.5439,0.6024,-0.0808
273,5885,108,5,running,0.8543,-2.2052,0.5423,1.0747,0.7441,-2.4708,-0.2934,0.7654,1.8476,1.7222,0.0822,-1.334,-0.3011,0.1863,-1.2234,-0.6879,0.1058,-1.7069,1.3615,1.5643,1.4736,-0.4637,0.6893,1.3487,-1.4043,-0.6637,0.3847,1.1191,-1.3766,-1.1494,1.6696,-1.6574,-0.1719,-1.7599,0.7441,0.372
277,5889,108,5,running,-1.3101,0.3617,-1.0277,-0.2262,-0.3176,-3.1463,1.1485,-1.7056,-1.1123,1.1663,-0.4,-0.673,0.099,-1.6223,-1.7594,0.6821,-0.2637,0.4785,0.2034,-0.0895,0.225,3.4267,-1.2674,1.5553,-1.1038,-1.2803,1.6279,-0.3159,0.5333,-0.6595,0.3326,-1.3706,0.6369,1.6602,0.2273,0.6623
229,5841,108,5,running,-1.3415,0.3324,-1.1182,-0.42,-1.1878,-0.6765,1.0174,-1.4309,-1.8325,-2.242,-0.0975,1.2325,2.6319,-0.2236,0.0695,-1.3378,-0.0691,0.0987,-1.0043,-1.3357,-0.7673,-0.2422,-0.089,0.0101,0.4872,0.0795,-0.0395,-0.7803,1.2237,-0.0111,-0.7228,1.2229,-2.5135,0.2706,1.4886,0.7477
255,5867,108,5,running,-0.4458,0.5727,2.2003,1.8278,1.4233,0.3622,0.4482,-1.1407,0.6373,0.2668,0.3,-1.4315,-0.7349,-0.4728,-1.2937,0.736,0.187,0.0334,-2.664,-1.2405,-0.0383,1.6514,-1.2499,1.5474,-0.1388,-0.784,-0.1036,-1.6456,1.7644,-1.8234,1.3097,-1.3876,0.2024,2.0588,2.0307,-0.4752
197,5809,108,5,running,0.1831,-1.777,1.4358,-1.6115,-1.4773,0.1702,-1.1051,1.1802,-0.2436,1.1746,-1.0,-2.4926,0.657,1.3646,-1.6783,0.3476,0.2928,-2.4394,-0.8606,-1.2442,-0.0865,0.7278,0.1537,-1.6447,-2.322,0.3272,-0.2099,-0.5603,1.6473,1.887,-0.7343,-1.1172,0.3,0.4723,-1.5896,1.1537
200,5812,108,5,running,1.1492,0.1172,-3.1269,0.1357,-1.6279,-0.4037,-0.0488,0.8487,-0.2875,0.2098,0.4,1.0671,0.5829,0.139,-0.0633,-1.7664,-0.0033,-1.3561,-0.1565,-0.2871,1.2379,1.6669,0.6198,-0.2736,1.2667,-1.2725,0.4711,-0.8569,1.2132,0.0357,0.1291,-0.3003,1.743,-0.076,1.4838,-1.4502
281,5893,108,5,running,-0.43,0.3172,1.158,-0.1392,-0.6276,-1.7789,-0.1079,-1.7537,0.7093,0.5381,1.078,-1.4822,-0.1702,0.3884,-0.301,0.0872,-0.2456,0.5666,1.1035,-0.142,-0.2008,2.5292,-1.2092,0.6081,-0.5051,0.0222,3.509,1.1845,-1.1537,0.4069,-0.2898,-1.287,-1.1423,1.0587,-0.6085,-0.228
