candidate_id,window_id,subject_id,activity_id,activity_name,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17
264,5876,108,5,running,-2.1455,0.2182,-0.3636,-1.8303,-0.5008,0.5591,0.567,-2.6267,-0.7071,0.5015,-0.1467,-0.7644,-0.6681,-1.5179,-0.0556,1.1742,1.4267,-0.4463
266,5878,108,5,running,-0.7661,0.8806,-2.175,-0.6276,0.254,1.2385,-0.3256,-0.6535,-1.7256,0.014,0.8715,-0.5576,0.0069,-1.8245,-1.3468,0.2284,0.0737,-0.0053
238,5850,108,5,running,-1.0147,0.1302,-1.0234,0.0597,0.4507,1.2005,0.189,-2.7152,-1.2079,-0.1512,0.3885,-1.6064,-0.4349,1.5731,0.2372,0.8145,0.0541,1.0343
259,5871,108,5,running,-1.0165,0.7766,-0.0653,-1.6217,1.3371,-0.5002,-1.1151,-1.0243,-0.0021,1.6568,0.7406,-0.385,0.8131,-1.2283,-0.3364,1.7126,-0.6695,0.1002
229,5841,108,5,running,-0.706,0.7366,0.855,-1.064,-0.6386,-0.01,1.4771,1.054,-0.6382,-1.8364,0.0087,0.8766,1.1547,-0.5345,0.4578,-0.2444,-0.5458,-1.584
267,5879,108,5,running,-1.1024,0.6261,1.1578,-0.625,-1.4854,0.0722,0.5692,0.5846,-0.0195,-0.7824,1.418,0.2136,-1.1506,-1.8015,0.5526,-1.1467,-0.015,-0.2527
271,5883,108,5,running,-0.5711,0.4338,-1.8746,0.3087,-0.0738,1.1746,1.5016,-1.5853,0.2075,0.5011,0.4809,-0.6288,0.4103,-1.1108,0.5356,-1.2655,1.7785,-0.211
239,5851,108,5,running,1.1213,-0.0618,-2.5082,0.522,0.7217,-2.3862,-0.7809,1.7185,-0.3744,1.0129,-0.03,-0.0828,-0.0777,-1.2303,-1.3297,-0.4188,0.3237,0.2083
193,5805,108,5,running,-0.7576,1.4608,-0.3622,-0.0734,-0.6341,1.0764,0.3786,-1.2381,1.0281,-1.0111,-0.2843,-0.2775,0.7365,0.7287,0.6537,-1.502,0.0298,0.7165
207,5819,108,5,running,-1.7017,0.3747,1.6404,-0.6135,-0.4305,-0.4302,-1.7012,0.4373,1.4774,-1.1765,-0.2189,-0.376,0.4378,1.3023,-0.4711,0.4252,0.2574,-0.3084
290,5902,108,5,running,-1.3172,0.1223,-2.7614,-1.2753,-1.538,-0.0125,1.603,-0.6709,0.1753,0.1146,-0.4506,-0.3503,0.6897,-1.3626,-0.3657,-0.0608,0.442,0.5626
247,5859,108,5,running,-0.403,0.3387,-0.7237,-0.264,-0.4654,-1.2454,-1.1222,-0.4809,1.477,-0.2563,-0.2702,-0.5444,0.7471,-1.6182,-0.6311,0.5732,-0.0433,-0.3816
254,5866,108,5,running,-0.8053,-0.2672,1.4377,0.7341,0.4682,1.1132,0.0824,-0.7162,-1.84,-1.3122,0.3678,0.5652,-0.3306,-1.4862,-0.3686,1.0052,0.1077,-0.063
268,5880,108,5,running,-2.0756,-0.0114,1.4513,-0.8585,-0.285,-0.4409,0.1014,0.6698,-1.3053,-1.7638,0.1743,-0.0182,-0.1071,-0.4117,-0.267,-0.203,0.3775,0.4622
244,5856,108,5,running,-0.11,0.6041,1.1858,0.5133,-1.3375,0.2583,-0.3085,0.7065,-1.4357,0.4045,-0.3576,0.2827,0.2229,0.6708,-0.5177,0.0575,-0.5255,-1.3482
215,5827,108,5,running,-0.1185,-1.3489,0.2863,0.1106,0.6311,1.0165,-0.3328,-1.7367,0.0335,0.9239,0.4573,-0.2379,0.2827,-0.6208,-0.6439,0.4342,1.6704,-0.1065
288,5900,108,5,running,-0.6496,-2.5582,-0.4341,0.6525,-0.2578,1.0813,1.7583,-0.8173,0.361,0.3346,-1.4593,-0.7449,-0.1731,-0.483,1.6731,-0.6546,0.5873,1.3158
269,5881,108,5,running,-1.2271,-0.5109,1.131,0.2254,-0.5768,1.234,-0.3169,1.1423,-0.0672,-0.8243,0.0697,-0.4223,1.3033,-0.1699,-0.1025,-0.5559,1.4066,0.0564
201,5813,108,5,running,1.2124,-0.7048,-0.2536,-0.872,0.1426,-1.4233,0.6398,0.4202,-1.2052,-1.6482,-1.6573,-0.0131,0.7452,-0.0503,-1.7423,-1.4469,-0.3309,0.3049
296,5908,108,5,running,0.7065,-0.4612,1.5695,0.6212,0.5227,0.7678,-0.8847,-0.7468,-0.4052,1.5367,-0.2614,0.2332,-0.4359,-0.5085,-0.2162,-0.0934,0.4275,1.1824
273,5885,108,5,running,-0.0241,0.4593,-0.2222,-0.5326,-0.2023,-1.0561,-1.0354,0.7696,-0.5386,-0.3154,0.685,-1.0714,-0.0188,-1.5349,0.0537,-1.5055,-0.4667,0.8711
212,5824,108,5,running,-1.5203,-0.0571,1.0622,-0.7042,0.575,-1.0454,-1.453,0.6416,-0.6035,-1.0282,-1.5388,0.4233,0.1232,1.3207,-0.4884,-0.8155,-0.3836,-0.0853
280,5892,108,5,running,-2.3336,0.0632,-1.4176,0.0302,-0.2476,0.6536,-0.6287,-0.6889,0.2463,0.3672,0.653,-0.5014,-0.246,0.241,-0.0888,0.0632,-1.1853,-1.4242
245,5857,108,5,running,-2.5121,0.4601,-0.1847,0.3085,-0.2607,-1.0884,-1.3748,-1.3304,0.6008,-0.0347,-1.1381,-0.1402,1.1072,1.3763,-0.1257,0.3704,-0.4577,-0.2622
284,5896,108,5,running,-2.8411,-0.4342,-0.0672,0.7606,0.5898,1.2202,0.4524,-1.0432,0.5371,0.4186,-0.7419,-1.5546,-0.2272,-0.3083,-0.2561,0.1128,1.0558,0.5624
262,5874,108,5,running,-0.5863,-0.0847,-0.2256,-0.6735,-0.1048,0.4748,-0.0331,-1.0446,0.1061,-0.3069,0.0876,1.1621,-0.1473,-1.6741,-0.1136,0.4074,-0.4162,0.0035
209,5821,108,5,running,-0.0282,-1.5607,0.3536,0.3,0.7495,0.4776,1.055,-1.3464,-0.4575,0.5175,0.0395,-0.5464,1.2886,-0.1722,-0.4582,0.8014,0.6561,0.2843
208,5820,108,5,running,-1.1254,-0.0742,1.3416,1.7828,0.6863,0.0146,-0.3934,-0.1348,0.1741,1.7636,0.3772,-1.1072,-0.4774,-0.2571,-1.1558,0.1068,-0.3287,1.1882
291,5903,108,5,running,1.5604,-0.3387,-1.1861,-1.0111,1.3142,-0.3465,-0.1631,0.5076,-1.3227,-0.2437,-0.0504,0.8254,0.2728,-0.0999,0.8061,-0.5356,0.4125,-1.1053
279,5891,108,5,running,-0.2263,-0.3753,-0.7565,-0.1404,1.7111,0.316,-1.0006,0.4134,1.8238,0.3847,0.8584,0.8681,-0.3867,0.3044,0.6383,-1.4484,0.6286,-1.4336
233,5845,108,5,running,-1.5062,2.1737,-0.8209,0.8737,0.7382,-0.8267,2.1638,-1.3284,-0.4178,0.8264,-1.8208,-1.0868,-0.5074,0.1609,0.0337,1.7872,-0.1347,0.4692
246,5858,108,5,running,-0.6183,0.5677,-1.8206,-0.4368,-1.187,0.5388,-0.1064,1.4878,-1.2865,-0.745,1.4881,-1.418,-0.0367,-0.0406,0.0684,0.7001,-0.3629,1.6878
214,5826,108,5,running,-0.4544,-0.2332,0.1126,-0.1336,0.366,-1.0882,-1.648,1.5435,-0.5506,-1.2875,-0.3103,0.4066,0.7335,0.4306,-0.0293,-1.8166,-0.6423,0.1253
242,5854,108,5,running,-0.3185,0.8705,-0.6362,0.0599,-0.3125,-0.3174,-0.5254,1.5416,-0.7876,0.056,0.5183,0.8654,0.3281,1.041,-1.5265,-0.0709,-0.6478,-0.3603
293,5905,108,5,running,-3.4701,-0.4679,0.3618,0.5656,-0.8402,-0.7412,-1.0742,0.1362,-0.4809,-0.7469,-0.2809,-1.6688,-0.5455,0.4818,0.865,1.6662,-0.163,0.6549
200,5812,108,5,running,-1.4757,0.4804,0.1318,0.5335,-0.5514,-2.6308,-0.3402,-0.8355,-0.36,0.0759,-1.3284,-0.7087,0.2532,-0.8627,1.3842,0.3062,-0.1706,-0.0608
231,5843,108,5,running,-0.28,-0.1017,-0.3421,0.7371,-0.3183,0.0645,0.1435,0.1164,-0.7265,-0.3703,-1.1402,1.5867,-1.1238,1.537,0.1706,0.0595,0.3325,-0.0309
218,5830,108,5,running,-0.0154,-0.1553,0.2626,0.0334,-0.3465,0.6736,0.1711,0.4537,0.7163,0.3553,0.4031,-1.6176,1.1304,1.1608,-1.0253,-0.2042,-0.2662,0.4025
243,5855,108,5,running,-0.7566,0.7065,-0.2732,-0.2038,-0.0228,0.2636,0.0854,-1.1197,0.3074,0.4012,-0.1334,-1.7131,-0.0402,-0.2927,0.244,0.2784,1.0712,0.1456
289,5901,108,5,running,-0.4582,-0.1279,0.4888,-1.617,-0.2328,-0.6323,1.1341,0.5338,0.1412,0.7655,-0.4111,1.355,0.8152,-1.5429,0.6167,-0.0148,0.3635,1.1082
45,5466,108,4,walking,-0.4238,-1.5778,-0.0062,0.2765,-0.0326,-0.4088,0.1708,-0.5126,0.1207,-0.1843,0.0506,-0.3831,0.5572,-0.283,-0.3152,1.4347,1.1464,0.1483
137,5558,108,4,walking,-0.048,0.0071,0.5636,1.1761,-0.0546,-0.0835,-0.0201,-0.475,-0.5126,-0.015,0.0736,-0.7662,-0.0433,1.0711,0.184,-0.7607,0.266,0.1695
182,5603,108,4,walking,-0.3209,-0.5371,-1.5513,-0.068,0.0457,-0.0213,0.0588,0.1462,-0.2606,-0.1058,0.1264,0.6588,0.6746,-0.2015,-0.1526,1.5307,0.2078,-0.468
94,5515,108,4,walking,0.7034,-0.2202,0.3833,0.5446,0.3213,-1.3123,0.005,-0.8213,0.3336,-0.7224,-0.0626,0.3164,0.4827,0.0805,0.2468,-1.3575,1.0622,-0.0676
19,5440,108,4,walking,-0.3172,-0.6132,-0.547,0.703,-0.1024,-0.2983,-0.2114,-0.7305,-0.1752,-1.0166,-0.3578,0.1732,-0.5023,-0.0106,1.2861,0.7056,1.5508,-0.5628
110,5531,108,4,walking,-0.1747,0.1614,0.2673,0.6838,0.5085,-1.0854,-0.4306,-0.3009,0.7168,0.285,0.0449,1.0174,0.0307,1.0615,0.6767,-1.7,-0.0102,0.2484
138,5559,108,4,walking,0.0482,-0.2487,-0.666,0.1587,-0.0892,-1.6758,1.1416,0.5011,0.5436,-0.6054,-0.0795,0.5561,-0.0338,0.1003,-0.4856,-0.024,-0.4836,0.138
78,5499,108,4,walking,-0.101,0.0825,0.0467,0.4747,0.4328,-1.0106,0.4475,0.358,-0.0975,0.0832,0.2743,1.1045,-0.0055,0.1006,-0.5129,-1.0666,-0.133,0.5467
62,5483,108,4,walking,-0.4568,0.0866,-0.611,0.2733,0.3378,0.3932,0.3082,0.5324,-0.272,0.5804,0.0203,-0.65,-0.4053,-0.3734,0.5725,-1.3476,0.4269,0.2127
60,5481,108,4,walking,0.0278,-0.1571,-0.0332,-1.6722,0.315,-0.1688,-0.3251,-0.3502,-0.5102,0.083,-1.655,0.286,-0.574,0.3063,1.1016,-0.085,-0.7273,1.0438
29,5450,108,4,walking,0.3472,-0.1543,-0.4331,0.5584,-0.1887,-0.7262,0.1862,1.4151,-0.0893,0.1604,0.087,1.0847,1.3785,-0.7263,0.3066,-0.3582,-0.4225,0.2141
67,5488,108,4,walking,-1.2382,-0.4284,-0.1863,0.1302,0.3683,0.0631,-0.2384,-0.336,-0.1224,0.0259,-0.724,0.3875,-0.0303,1.1382,-0.6182,-0.58,-0.0045,0.5445
49,5470,108,4,walking,-0.466,-1.0818,0.3839,-0.2658,0.3009,-0.3691,0.7565,-1.3351,-0.0831,-0.0046,0.1555,-0.3515,0.3688,0.4258,1.0028,-0.7238,-1.0155,0.0427
128,5549,108,4,walking,0.76598,-0.02766,-0.68522,0.45252,-1.50213,0.43447,0.41877,-0.37895,-0.2789,-0.33255,-0.10854,-0.24935,-0.11411,-0.00451,0.38036,0.22974,-0.67542,0.57332
163,5584,108,4,walking,0.1033,0.3471,-0.6869,0.0093,0.8862,1.3827,1.3666,0.0165,0.206,0.7164,0.4651,0.3621,-0.0686,-0.2293,-0.0071,1.1864,0.1828,-0.7637
47,5468,108,4,walking,-0.2266,1.0258,0.0755,0.241,-0.5448,0.1794,1.0612,-0.4478,0.2752,0.169,0.4622,0.3635,-0.7282,0.1017,-0.0037,-0.2656,-0.2452,-0.4765
