candidate_id,window_id,subject_id,activity_id,activity_name,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28,value_29,value_30,value_31,value_32,value_33,value_34,value_35
300,5912,108,5,running,-0.2363,-0.3083,0.2563,-0.4083,0.367,0.1403,-0.4774,0.1884,0.1377,-0.0136,-0.2472,0.1714,-0.0373,-0.4085,0.101,-0.752,-0.0562,0.4148,-0.4433,0.257,-0.7767,-0.566,0.3575,0.6602,0.7317,0.2561,-0.1265,-0.1551,0.2183,-0.088,0.2462,-0.4483,-0.0284,-0.2631,-0.0246,-0.6116
298,5910,108,5,running,0.0223,0.1429,-1.0127,-0.1177,-0.6272,-0.2173,-0.0486,-1.2657,0.0314,0.5573,0.2635,-0.7189,-0.034,-0.237,-0.4042,0.2578,-0.0701,-0.5216,0.6319,0.0052,-0.3072,0.3882,0.4463,0.0823,-1.3604,-0.8766,-0.7531,-0.0853,1.2116,-0.203,-0.1044,0.687,0.4553,1.6632,0.1202,-0.8097
299,5911,108,5,running,-0.7664,-0.4153,0.1881,-0.3301,-0.0808,-0.6406,0.1035,-0.1027,-0.2631,-0.0568,-0.6241,0.1199,0.4741,0.0248,-1.216,0.0004,0.7779,0.4534,0.1732,-0.2802,0.1203,-0.2366,-0.6817,0.181,-0.5268,0.58,0.0428,-0.4742,-0.0334,-0.0304,1.4502,0.3742,-0.1809,0.082,0.5206,-0.5455
301,5913,108,5,running,0.1529,0.577,-0.0354,0.4264,0.2867,0.0486,-0.3418,0.1878,-0.008,-0.3555,-0.522,0.5315,0.5847,-0.177,0.5278,0.0365,0.0764,0.736,-0.2828,0.3542,1.003,-0.0429,-0.1399,0.1662,0.764,0.2237,0.013,-0.1004,0.273,-0.3763,0.4641,-1.0755,-0.4308,-0.3052,-0.4453,-0.1422
297,5909,108,5,running,0.177,-0.748,-0.5363,-1.0667,-0.5027,0.438,-0.3124,-0.8207,-0.2224,0.2365,0.5171,-0.6038,0.2453,0.0401,0.4803,0.6026,0.0815,0.276,-0.4467,1.1634,-0.2508,-0.4287,-0.1795,0.0069,0.1369,-0.1217,-0.0856,-0.1066,0.5362,-0.6793,1.0115,0.6432,0.1096,0.6657,-0.4303,-0.5231
303,5915,108,5,running,-1.1684,-0.0468,-0.1147,-0.1118,-0.1614,-0.1877,-0.6772,-0.3224,0.4203,0.0763,0.0402,-0.0044,-0.205,0.0324,0.4212,-0.3672,-0.0562,-0.3131,0.2068,-0.423,-0.2766,0.1012,-0.113,0.0347,0.2606,-0.0448,0.2426,0.0546,-0.2224,0.506,-0.0148,-0.3407,-0.1168,0.3381,0.0045,-0.1882
296,5908,108,5,running,-0.1823,-0.1517,0.3363,1.0785,-0.1012,0.4705,-1.2483,0.6753,0.3228,-1.6767,-0.2702,-0.6279,0.1224,1.2781,0.3757,1.3381,1.5462,0.5358,0.5456,-0.0114,-1.0558,-0.5633,-0.1723,1.4435,0.4575,-0.3685,-0.6672,-0.1333,0.7392,-0.5484,-1.122,0.4183,0.6012,-0.1447,-0.4829,0.7668
259,5871,108,5,running,0.482,0.4448,0.2514,-0.7225,1.3303,-0.3662,-0.7706,1.4127,-0.7447,-1.3867,-0.4275,-0.7623,0.1411,-0.2646,-0.8846,-0.8459,-0.7127,-1.574,-0.6046,-0.5747,0.211,-0.4102,0.2266,0.0409,0.3019,0.1315,-0.511,0.0721,-0.7522,-0.1656,0.5476,0.4315,-0.6624,-0.8774,-0.2601,0.6744
266,5878,108,5,running,-0.177,0.261,-0.7392,0.0617,0.0014,-1.0562,-0.1874,0.526,0.605,1.0025,-0.6262,1.7358,-0.0456,1.337,-0.257,0.7627,-0.5555,-0.3247,-0.3424,-1.1546,0.7135,-0.1069,0.0,0.2865,0.2322,0.4033,-1.1651,-0.2596,-1.3719,-0.6752,-0.3354,0.001,-0.5028,-0.0456,-0.2174,-0.4636
264,5876,108,5,running,0.645,-1.0482,-0.7059,1.4369,-0.1476,-1.8172,0.0442,0.1766,-0.5221,0.6305,-1.586,0.7758,-0.2012,0.0094,-0.0357,-0.2238,0.0073,-0.0468,0.7575,-0.1373,0.3596,-0.1465,0.0277,-0.7865,-0.1254,0.4494,-0.3738,-0.247,0.1056,0.572,-0.2127,-0.4303,0.3644,-0.677,1.7604,-0.0718
272,5884,108,5,running,0.8547,-0.3366,0.3245,0.747,-0.0735,-0.5587,-1.2826,0.5276,1.4763,0.7016,-0.8784,-0.1233,1.2124,1.503,0.4673,0.0546,-0.4144,0.2035,-0.1754,0.1778,-0.5849,0.464,1.3336,-0.7351,0.8735,-0.7256,-0.4071,0.7381,-0.1479,1.3664,0.3858,-0.523,-0.0046,-0.2709,-0.1316,-0.3122
195,5807,108,5,running,-0.4277,0.5166,0.2568,-0.465,0.1305,1.2382,-0.1076,-0.8026,0.367,0.4422,-0.784,-0.385,0.184,-0.5343,-0.4487,0.5454,0.4054,1.4793,0.1396,-0.2042,0.7285,-0.0138,0.4669,-0.7627,0.7174,-0.8564,0.42,-0.1426,-1.1846,0.6865,-1.7532,0.4173,-0.5655,-1.017,0.6283,0.1222
271,5883,108,5,running,-0.6327,1.065,0.0582,0.1487,0.0546,-0.2461,-1.7265,-0.431,0.1083,1.1157,0.062,0.6111,-0.5592,0.0125,-0.4168,0.2341,-0.4636,-0.3298,-0.3226,-0.8107,-0.3507,1.2405,0.2134,-0.0226,0.3804,-0.6768,-0.0636,-0.82,1.6487,0.056,1.0403,-0.5643,0.4275,0.4724,0.667,0.3812
219,5831,108,5,running,0.5112,0.0305,1.2393,0.6495,-0.1407,-0.2556,-0.0512,-0.1044,0.5325,0.3586,-0.2218,-0.4038,1.1608,0.0722,0.3873,0.1136,-0.3285,-0.3645,-1.4512,-0.8129,-0.037,0.631,-0.3176,-0.2471,-0.5312,-1.7428,0.5837,-0.856,0.5724,1.2101,0.4176,0.5806,-0.3717,-0.6706,1.4305,-0.345
193,5805,108,5,running,-0.6296,-0.4711,0.5339,-0.3659,-0.0456,0.0456,0.6119,-0.4578,1.7618,-0.0657,0.6404,0.2246,0.274,1.3815,-0.2104,0.5275,-0.115,0.6127,-0.164,0.5623,0.6332,-0.2567,-0.2541,0.6732,-0.6485,0.8378,-0.0567,0.5774,-0.5625,0.3785,0.2338,0.7833,0.6645,-0.235,0.1866,-0.7872
