candidate_id,window_id,subject_id,activity_id,activity_name,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28,value_29,value_30,value_31,value_32,value_33,value_34,value_35
294,5906,108,5,running,-0.2054,2.6331,-0.3228,-0.0468,0.2139,-2.2087,-0.7335,0.053,-1.715,0.0646,-0.2826,0.9403,-0.1644,0.5536,-1.3448,-0.6193,1.6707,2.51,-2.6642,0.2025,-2.1143,-0.1935,-0.6523,0.2259,-0.275,-0.6457,-1.2398,-0.6467,-1.3042,-0.1601,0.0625,2.3298,1.2392,0.0373,2.1472,-0.55
244,5856,108,5,running,-0.6512,-0.6469,-0.8406,0.1649,-0.7592,-0.1057,0.2867,0.3126,-2.4059,-0.8449,0.5864,-0.2059,-0.767,-1.1225,1.324,0.8264,-0.4584,-1.6285,-1.4633,-0.2538,-1.3008,-0.106,0.3468,-0.3446,0.1686,1.7288,2.0889,0.848,0.5398,-0.0838,-1.8483,-1.7102,-2.1678,0.2324,-1.5892,-0.0597
295,5907,108,5,running,1.4743,-2.7207,0.873,1.9659,-0.3946,-2.0468,1.1739,0.2915,1.5536,-0.4697,0.4086,-0.6063,0.0336,0.1132,1.445,-0.246,0.3709,-0.215,0.5684,-0.2893,-0.227,-0.1103,-0.2367,0.7006,0.755,1.6808,1.1298,-0.5733,-0.2125,-0.0307,0.173,2.072,1.1572,0.2959,-2.0035,0.4569
278,5890,108,5,running,-2.4056,2.2397,0.9837,-0.5108,-2.1404,-0.3708,1.5791,-0.647,-2.4526,-0.6642,-0.7568,-2.4691,-0.6536,0.6621,0.2858,-0.4535,1.7386,-3.0642,0.255,0.2946,0.3692,0.3249,-0.6535,-0.2482,0.5235,-2.027,-0.863,-0.2249,-0.3046,0.491,0.1024,-0.3334,-0.8037,-0.4647,-3.448,0.4704
279,5891,108,5,running,-2.6116,-1.4704,0.1597,1.0033,1.7239,0.0532,-1.0524,-3.223,0.5343,-0.2245,0.1636,0.7279,0.5812,0.7856,0.5067,0.7598,0.0898,2.0682,0.7201,1.7352,0.6392,0.3729,0.6778,-0.3757,0.5548,0.0663,2.7608,-0.6065,-0.6678,0.7462,0.1993,3.8161,-0.1402,-0.2092,2.2865,-0.6885
202,5814,108,5,running,-0.3365,-0.4762,0.0677,0.1684,-1.8702,-1.1048,0.7554,0.3603,2.6965,0.3947,0.4887,-1.3177,-0.0651,-0.2052,0.3284,0.8541,-0.5643,0.6478,-1.0385,0.4027,0.0955,0.502,1.5458,0.7087,0.1417,1.5726,1.3184,0.0896,-2.373,0.2834,1.449,2.6264,2.6466,-0.2035,0.4653,0.1168
226,5838,108,5,running,-1.6402,-1.0664,-3.409,-3.2373,-2.8328,0.1773,0.7659,2.3372,0.5587,-0.5277,0.3555,-0.2542,1.4839,-1.2584,0.2949,-0.3041,-0.1736,2.5622,-2.3454,0.776,-0.3353,-0.1666,0.003,-0.212,0.4114,1.7638,-0.5497,0.0857,0.1345,-0.0964,2.2655,-2.6656,-0.0139,-0.004,2.0775,-0.1505
275,5887,108,5,running,0.2886,-1.3274,0.3552,1.3765,-0.2479,2.3073,0.3149,-0.1145,-0.7627,-0.2023,-0.783,-0.3026,0.1373,0.4223,0.536,-1.028,0.6685,2.1185,3.3354,0.1796,-1.77,0.6095,0.0885,0.6807,-0.1844,0.0903,1.8927,0.6074,-0.3255,-0.7631,0.3187,0.3369,1.2981,-0.5759,1.0838,-0.6097
239,5851,108,5,running,0.7503,-2.0584,-0.3079,1.528,1.3805,0.5579,-2.102,-0.233,0.0848,1.4885,0.8874,-0.6644,-0.3752,-1.6448,-0.1683,0.0295,0.4358,-2.8197,-0.2541,0.1076,1.5676,0.0477,-0.0875,-0.357,-0.1357,-0.3465,-0.4679,-0.5339,0.31,-0.1407,1.3188,-2.7756,2.1767,-0.3239,2.3378,0.4896
204,5816,108,5,running,-0.0042,-1.1851,-2.2008,0.1022,0.8547,3.3876,4.2035,0.6343,2.2207,-0.4552,-0.3048,1.3604,0.7399,1.0016,-0.1591,-0.1805,-1.1668,2.225,1.329,0.1735,1.0984,-1.3458,-0.2876,0.1358,-1.1366,0.2373,1.8267,-0.6632,-1.7024,-0.127,-0.6733,0.5558,1.8372,-0.1068,-1.4448,0.4364
