run_name,epoch,base_dataset,dataset_dir,generated_dir,plot_png,plot_pdf,real_shape,synthetic_shape,real_channel_mean,synthetic_channel_mean,real_channel_std,synthetic_channel_std,real_counts,synthetic_counts,channels
hand_stats,5epoch,hand,artifacts/pamap2_sdforger_dataset_2act_hand_stats,outputs/generated/gemma_2act_hand_stats,outputs/plots/gemma_2act_stats_normalized_overlays/hand_stats_standardized_overlay.png,outputs/plots/gemma_2act_stats_normalized_overlays/hand_stats_standardized_overlay.pdf,"[305, 256, 6]","[301, 256, 6]","[-0.07665900141000748, -0.9542179703712463, -0.09477899968624115, -0.23653200268745422, 0.11537399888038635, -0.04707299917936325]","[-0.10287400335073471, -0.1319890022277832, 0.05450199916958809, -0.0042039998807013035, -0.009197000414133072, 0.007044000085443258]","[1.0433449745178223, 1.0381499528884888, 0.792244017124176, 0.9885600209236145, 0.9914669990539551, 1.0579299926757812]","[0.6787639856338501, 0.5196239948272705, 0.5034589767456055, 0.5292620062828064, 0.738569974899292, 0.8632659912109375]","{'walking': 190, 'running': 115}","{'walking': 188, 'running': 113}","['hand_acc_16g_x', 'hand_acc_16g_y', 'hand_acc_16g_z', 'hand_gyro_x', 'hand_gyro_y', 'hand_gyro_z']"
hand_stats_ep10,10epoch,hand,artifacts/pamap2_sdforger_dataset_2act_hand_stats,outputs/generated/gemma_2act_hand_stats_ep10,outputs/plots/gemma_2act_stats_normalized_overlays/hand_stats_ep10_standardized_overlay.png,outputs/plots/gemma_2act_stats_normalized_overlays/hand_stats_ep10_standardized_overlay.pdf,"[305, 256, 6]","[261, 256, 6]","[-0.07665900141000748, -0.9542179703712463, -0.09477899968624115, -0.23653200268745422, 0.11537399888038635, -0.04707299917936325]","[0.016481000930070877, 0.032345000654459, -0.03159099817276001, 0.001610000035725534, 0.020329000428318977, 0.0050849998369812965]","[1.0433449745178223, 1.0381499528884888, 0.792244017124176, 0.9885600209236145, 0.9914669990539551, 1.0579299926757812]","[0.577131986618042, 0.6138020157814026, 0.3953459858894348, 0.42966899275779724, 0.5956720113754272, 0.6614980101585388]","{'walking': 190, 'running': 115}","{'walking': 154, 'running': 107}","['hand_acc_16g_x', 'hand_acc_16g_y', 'hand_acc_16g_z', 'hand_gyro_x', 'hand_gyro_y', 'hand_gyro_z']"
hand_stats_ep20,20epoch,hand,artifacts/pamap2_sdforger_dataset_2act_hand_stats,outputs/generated/gemma_2act_hand_stats_ep20,outputs/plots/gemma_2act_stats_normalized_overlays/hand_stats_ep20_standardized_overlay.png,outputs/plots/gemma_2act_stats_normalized_overlays/hand_stats_ep20_standardized_overlay.pdf,"[305, 256, 6]","[284, 256, 6]","[-0.07665900141000748, -0.9542179703712463, -0.09477899968624115, -0.23653200268745422, 0.11537399888038635, -0.04707299917936325]","[-0.07184500247240067, -0.00228599994443357, 0.027758000418543816, -0.00010599999950500205, 0.015374000184237957, -0.004377999808639288]","[1.0433449745178223, 1.0381499528884888, 0.792244017124176, 0.9885600209236145, 0.9914669990539551, 1.0579299926757812]","[0.5491600036621094, 0.6066100001335144, 0.46320000290870667, 0.5114840269088745, 0.6838639974594116, 0.7145270109176636]","{'walking': 190, 'running': 115}","{'walking': 180, 'running': 104}","['hand_acc_16g_x', 'hand_acc_16g_y', 'hand_acc_16g_z', 'hand_gyro_x', 'hand_gyro_y', 'hand_gyro_z']"
chest_gyro_stats,5epoch,chest_gyro,artifacts/pamap2_sdforger_dataset_2act_chest_gyro_stats,outputs/generated/gemma_2act_chest_gyro_stats,outputs/plots/gemma_2act_stats_normalized_overlays/chest_gyro_stats_standardized_overlay.png,outputs/plots/gemma_2act_stats_normalized_overlays/chest_gyro_stats_standardized_overlay.pdf,"[305, 256, 3]","[283, 256, 3]","[-0.008666999638080597, 0.010439000092446804, 0.013372999615967274]","[-0.0023769999388605356, 0.0027890000492334366, -0.0010319999419152737]","[0.8164340257644653, 0.8528649806976318, 0.8901559710502625]","[0.40130800008773804, 0.5441840291023254, 0.4703879952430725]","{'walking': 190, 'running': 115}","{'walking': 171, 'running': 112}","['chest_gyro_x', 'chest_gyro_y', 'chest_gyro_z']"
chest_gyro_stats_ep10,10epoch,chest_gyro,artifacts/pamap2_sdforger_dataset_2act_chest_gyro_stats,outputs/generated/gemma_2act_chest_gyro_stats_ep10,outputs/plots/gemma_2act_stats_normalized_overlays/chest_gyro_stats_ep10_standardized_overlay.png,outputs/plots/gemma_2act_stats_normalized_overlays/chest_gyro_stats_ep10_standardized_overlay.pdf,"[305, 256, 3]","[303, 256, 3]","[-0.008666999638080597, 0.010439000092446804, 0.013372999615967274]","[-0.0030479999259114265, 0.013275000266730785, 0.002647999906912446]","[0.8164340257644653, 0.8528649806976318, 0.8901559710502625]","[0.4038600027561188, 0.5517299771308899, 0.4847019910812378]","{'walking': 190, 'running': 115}","{'walking': 188, 'running': 115}","['chest_gyro_x', 'chest_gyro_y', 'chest_gyro_z']"
chest_gyro_stats_ep20,20epoch,chest_gyro,artifacts/pamap2_sdforger_dataset_2act_chest_gyro_stats,outputs/generated/gemma_2act_chest_gyro_stats_ep20,outputs/plots/gemma_2act_stats_normalized_overlays/chest_gyro_stats_ep20_standardized_overlay.png,outputs/plots/gemma_2act_stats_normalized_overlays/chest_gyro_stats_ep20_standardized_overlay.pdf,"[305, 256, 3]","[271, 256, 3]","[-0.008666999638080597, 0.010439000092446804, 0.013372999615967274]","[-0.001867000013589859, 0.005936000030487776, -0.004647000227123499]","[0.8164340257644653, 0.8528649806976318, 0.8901559710502625]","[0.4409869909286499, 0.677486002445221, 0.7168530225753784]","{'walking': 190, 'running': 115}","{'walking': 187, 'running': 84}","['chest_gyro_x', 'chest_gyro_y', 'chest_gyro_z']"
chest_stats_ep5,5epoch,chest,artifacts/pamap2_sdforger_dataset_2act_chest_stats,outputs/generated/gemma_2act_chest_stats_ep5,outputs/plots/gemma_2act_stats_normalized_overlays/chest_stats_ep5_standardized_overlay.png,outputs/plots/gemma_2act_stats_normalized_overlays/chest_stats_ep5_standardized_overlay.pdf,"[305, 256, 6]","[270, 256, 6]","[-0.008049000054597855, 0.04706300050020218, 0.457614004611969, -0.008666999638080597, 0.010439000092446804, 0.013372999615967274]","[-0.0015369999455288053, 0.004217000212520361, 0.2594889998435974, 0.0013099999632686377, -0.013000000268220901, 0.008124999701976776]","[1.12008798122406, 1.1828229427337646, 1.061669945716858, 0.8164340257644653, 0.8528649806976318, 0.8901559710502625]","[0.4494749903678894, 0.6828709840774536, 0.4831869900226593, 0.424345999956131, 0.6224150061607361, 0.5245220065116882]","{'walking': 190, 'running': 115}","{'walking': 163, 'running': 107}","['chest_acc_16g_x', 'chest_acc_16g_y', 'chest_acc_16g_z', 'chest_gyro_x', 'chest_gyro_y', 'chest_gyro_z']"
chest_stats_ep10,10epoch,chest,artifacts/pamap2_sdforger_dataset_2act_chest_stats,outputs/generated/gemma_2act_chest_stats_ep10,outputs/plots/gemma_2act_stats_normalized_overlays/chest_stats_ep10_standardized_overlay.png,outputs/plots/gemma_2act_stats_normalized_overlays/chest_stats_ep10_standardized_overlay.pdf,"[305, 256, 6]","[303, 256, 6]","[-0.008049000054597855, 0.04706300050020218, 0.457614004611969, -0.008666999638080597, 0.010439000092446804, 0.013372999615967274]","[0.009204999543726444, 0.0029929999727755785, 0.14291900396347046, 0.00171999994199723, -2.2000000171829015e-05, 0.008736999705433846]","[1.12008798122406, 1.1828229427337646, 1.061669945716858, 0.8164340257644653, 0.8528649806976318, 0.8901559710502625]","[0.5844879746437073, 0.8609790205955505, 0.5031620264053345, 0.5722180008888245, 0.8266310095787048, 0.7038599848747253]","{'walking': 190, 'running': 115}","{'walking': 189, 'running': 114}","['chest_acc_16g_x', 'chest_acc_16g_y', 'chest_acc_16g_z', 'chest_gyro_x', 'chest_gyro_y', 'chest_gyro_z']"
chest_stats_ep20,20epoch,chest,artifacts/pamap2_sdforger_dataset_2act_chest_stats,outputs/generated/gemma_2act_chest_stats_ep20,outputs/plots/gemma_2act_stats_normalized_overlays/chest_stats_ep20_standardized_overlay.png,outputs/plots/gemma_2act_stats_normalized_overlays/chest_stats_ep20_standardized_overlay.pdf,"[305, 256, 6]","[222, 256, 6]","[-0.008049000054597855, 0.04706300050020218, 0.457614004611969, -0.008666999638080597, 0.010439000092446804, 0.013372999615967274]","[-0.025723999366164207, -0.0005050000036135316, 0.26346901059150696, -0.0035550000611692667, -0.015394999645650387, -0.005419000051915646]","[1.12008798122406, 1.1828229427337646, 1.061669945716858, 0.8164340257644653, 0.8528649806976318, 0.8901559710502625]","[0.6001420021057129, 0.9523749947547913, 0.5490310192108154, 0.6492000222206116, 0.8530229926109314, 0.636676013469696]","{'walking': 190, 'running': 115}","{'walking': 124, 'running': 98}","['chest_acc_16g_x', 'chest_acc_16g_y', 'chest_acc_16g_z', 'chest_gyro_x', 'chest_gyro_y', 'chest_gyro_z']"
chest_acc_stats_ep5,5epoch,chest_acc,artifacts/pamap2_sdforger_dataset_2act_chest_acc_stats,outputs/generated/gemma_2act_chest_acc_stats_ep5,outputs/plots/gemma_2act_stats_normalized_overlays/chest_acc_stats_ep5_standardized_overlay.png,outputs/plots/gemma_2act_stats_normalized_overlays/chest_acc_stats_ep5_standardized_overlay.pdf,"[305, 256, 3]","[280, 256, 3]","[-0.008049000054597855, 0.04706300050020218, 0.457614004611969]","[0.007734000217169523, 0.0012700000079348683, 0.021338000893592834]","[1.12008798122406, 1.1828229427337646, 1.061669945716858]","[0.3810180127620697, 0.43223899602890015, 0.4105510115623474]","{'walking': 190, 'running': 115}","{'walking': 179, 'running': 101}","['chest_acc_16g_x', 'chest_acc_16g_y', 'chest_acc_16g_z']"
