synthetic_index,candidate_id,prompt_window_id,real_index,activity_name,rmse_to_prompt_real,mae_to_prompt_real,plot
187,192,5804,192,running,0.10454477369785309,0.07865339517593384,outputs/plots/single_generated_window_comparisons_by_channel/gemma_2act_chest_gyro_stats_ica12_ep10/00_running_candidate192_prompt5804.png
186,191,5803,191,running,0.16989201307296753,0.13093391060829163,outputs/plots/single_generated_window_comparisons_by_channel/gemma_2act_chest_gyro_stats_ica12_ep10/01_running_candidate191_prompt5803.png
295,301,5913,301,running,0.3863213360309601,0.2815397083759308,outputs/plots/single_generated_window_comparisons_by_channel/gemma_2act_chest_gyro_stats_ica12_ep10/02_running_candidate301_prompt5913.png
298,304,5916,304,running,0.6348802447319031,0.48246923089027405,outputs/plots/single_generated_window_comparisons_by_channel/gemma_2act_chest_gyro_stats_ica12_ep10/03_running_candidate304_prompt5916.png
297,303,5915,303,running,0.7039386630058289,0.5670916438102722,outputs/plots/single_generated_window_comparisons_by_channel/gemma_2act_chest_gyro_stats_ica12_ep10/04_running_candidate303_prompt5915.png
185,189,5610,189,walking,0.11891248822212219,0.09319204092025757,outputs/plots/single_generated_window_comparisons_by_channel/gemma_2act_chest_gyro_stats_ica12_ep10/05_walking_candidate189_prompt5610.png
1,1,5422,1,walking,0.13079127669334412,0.10582685470581055,outputs/plots/single_generated_window_comparisons_by_channel/gemma_2act_chest_gyro_stats_ica12_ep10/06_walking_candidate1_prompt5422.png
184,188,5609,188,walking,0.15320125222206116,0.11587965488433838,outputs/plots/single_generated_window_comparisons_by_channel/gemma_2act_chest_gyro_stats_ica12_ep10/07_walking_candidate188_prompt5609.png
0,0,5421,0,walking,0.19972968101501465,0.16144056618213654,outputs/plots/single_generated_window_comparisons_by_channel/gemma_2act_chest_gyro_stats_ica12_ep10/08_walking_candidate0_prompt5421.png
12,12,5433,12,walking,0.49337732791900635,0.38469991087913513,outputs/plots/single_generated_window_comparisons_by_channel/gemma_2act_chest_gyro_stats_ica12_ep10/09_walking_candidate12_prompt5433.png
