synthetic_index,candidate_id,prompt_window_id,real_index,activity_name,rmse_to_prompt_real,mae_to_prompt_real,plot
188,190,5802,190,running,0.1754455864429474,0.11189497262239456,outputs/plots/single_generated_window_comparisons_by_channel/gemma_2act_hand_stats_ica18_ep10/00_running_candidate190_prompt5802.png
189,191,5803,191,running,0.1884247362613678,0.12634584307670593,outputs/plots/single_generated_window_comparisons_by_channel/gemma_2act_hand_stats_ica18_ep10/01_running_candidate191_prompt5803.png
190,192,5804,192,running,0.26364582777023315,0.19532258808612823,outputs/plots/single_generated_window_comparisons_by_channel/gemma_2act_hand_stats_ica18_ep10/02_running_candidate192_prompt5804.png
292,303,5915,303,running,0.8630406260490417,0.563096284866333,outputs/plots/single_generated_window_comparisons_by_channel/gemma_2act_hand_stats_ica18_ep10/03_running_candidate303_prompt5915.png
291,302,5914,302,running,0.8642576336860657,0.5513371825218201,outputs/plots/single_generated_window_comparisons_by_channel/gemma_2act_hand_stats_ica18_ep10/04_running_candidate302_prompt5914.png
187,189,5610,189,walking,0.2019636332988739,0.13741041719913483,outputs/plots/single_generated_window_comparisons_by_channel/gemma_2act_hand_stats_ica18_ep10/05_walking_candidate189_prompt5610.png
186,188,5609,188,walking,0.2190890908241272,0.16373848915100098,outputs/plots/single_generated_window_comparisons_by_channel/gemma_2act_hand_stats_ica18_ep10/06_walking_candidate188_prompt5609.png
1,1,5422,1,walking,0.34812095761299133,0.21860665082931519,outputs/plots/single_generated_window_comparisons_by_channel/gemma_2act_hand_stats_ica18_ep10/07_walking_candidate1_prompt5422.png
185,187,5608,187,walking,0.3876830041408539,0.3021056652069092,outputs/plots/single_generated_window_comparisons_by_channel/gemma_2act_hand_stats_ica18_ep10/08_walking_candidate187_prompt5608.png
3,3,5424,3,walking,0.40769803524017334,0.316562294960022,outputs/plots/single_generated_window_comparisons_by_channel/gemma_2act_hand_stats_ica18_ep10/09_walking_candidate3_prompt5424.png
