synthetic_index,candidate_id,prompt_window_id,real_index,activity_name,rmse_to_prompt_real,mae_to_prompt_real,stats_score,max_channel_stats_score,mean_zerr_avg,std_relerr_avg,range_zerr_avg,plot
0,264,5876,264,running,1.7039247751235962,1.334185242652893,0.3257476219932062,0.5102653252394823,0.0664376798792932,0.1243029118385345,1.2472569265303757,outputs/plots/stats_filter_extra_single_generated_by_channel/chest_gyro_stats_base_stats_strict_p35/00_running_candidate264_prompt5876.png
1,266,5878,266,running,1.6893242597579956,1.398757815361023,0.4084984970895407,0.4555906045774699,0.0865092824393678,0.2954017186767755,1.2786704832154163,outputs/plots/stats_filter_extra_single_generated_by_channel/chest_gyro_stats_base_stats_strict_p35/01_running_candidate266_prompt5878.png
2,238,5850,238,running,1.4638491868972778,1.1369115114212036,0.435255470590235,0.6587764891902392,0.0467048133111978,0.3909142595768318,1.3010392071751156,outputs/plots/stats_filter_extra_single_generated_by_channel/chest_gyro_stats_base_stats_strict_p35/02_running_candidate238_prompt5850.png
3,259,5871,259,running,1.6554659605026245,1.2450510263442993,0.4445046364768948,0.6117517117812694,0.0678494802219826,0.397739514282625,1.2913451933752589,outputs/plots/stats_filter_extra_single_generated_by_channel/chest_gyro_stats_base_stats_strict_p35/03_running_candidate259_prompt5871.png
4,229,5841,229,running,1.4211387634277344,1.2084481716156006,0.4538125954040535,0.6911245181392857,0.0233163069258573,0.3585241529246574,1.5053820573192382,outputs/plots/stats_filter_extra_single_generated_by_channel/chest_gyro_stats_base_stats_strict_p35/04_running_candidate229_prompt5841.png
40,45,5466,45,walking,0.7476301789283752,0.540814220905304,0.1808886362350246,0.2266134832302729,0.1253265239187625,0.0420662503989401,0.5696576325397179,outputs/plots/stats_filter_extra_single_generated_by_channel/chest_gyro_stats_base_stats_strict_p35/05_walking_candidate45_prompt5466.png
41,137,5558,137,walking,0.6022800207138062,0.473309189081192,0.2216585521877518,0.2643016919709634,0.0222496376082634,0.1329491412676355,0.7978952031869614,outputs/plots/stats_filter_extra_single_generated_by_channel/chest_gyro_stats_base_stats_strict_p35/06_walking_candidate137_prompt5558.png
42,182,5603,182,walking,0.565015971660614,0.46011531352996826,0.2588457048743726,0.3171201055520214,0.0949533504675075,0.1756831975452183,0.7529554283464112,outputs/plots/stats_filter_extra_single_generated_by_channel/chest_gyro_stats_base_stats_strict_p35/07_walking_candidate182_prompt5603.png
43,94,5515,94,walking,0.6702096462249756,0.5481658577919006,0.261241886812332,0.4087879927417311,0.0810645383341926,0.2538714794965331,0.6363373984002088,outputs/plots/stats_filter_extra_single_generated_by_channel/chest_gyro_stats_base_stats_strict_p35/08_walking_candidate94_prompt5515.png
44,19,5440,19,walking,0.7593889832496643,0.5683783888816833,0.266128074053616,0.3235400879836601,0.038755136125291,0.2161015504391434,0.8209269971392114,outputs/plots/stats_filter_extra_single_generated_by_channel/chest_gyro_stats_base_stats_strict_p35/09_walking_candidate19_prompt5440.png
