synthetic_index,candidate_id,prompt_window_id,real_index,activity_name,rmse_to_prompt_real,mae_to_prompt_real,stats_score,max_channel_stats_score,mean_zerr_avg,std_relerr_avg,range_zerr_avg,plot
0,255,5867,255,running,1.760332703590393,1.4015823602676392,0.5422632848737217,0.9017271801076988,0.2918727394558749,0.4777474444132648,1.1720760566303283,outputs/plots/stats_filter_extra_single_generated_by_channel/hand_stats_ica12_ep5_stats_strict_p35/00_running_candidate255_prompt5867.png
1,225,5837,225,running,1.944472074508667,1.544939637184143,0.5633704125918381,0.9230854413495212,0.331449151537061,0.4485257809807239,1.25690219792362,outputs/plots/stats_filter_extra_single_generated_by_channel/hand_stats_ica12_ep5_stats_strict_p35/01_running_candidate225_prompt5837.png
2,220,5832,220,running,1.6089098453521729,1.2251523733139038,0.5743301817946467,1.0116973640373628,0.3321924115176657,0.479720921374899,1.247824243188104,outputs/plots/stats_filter_extra_single_generated_by_channel/hand_stats_ica12_ep5_stats_strict_p35/02_running_candidate220_prompt5832.png
3,263,5875,263,running,1.6716303825378418,1.307132363319397,0.5788840110210296,1.1137804943113272,0.4765455427018552,0.4433549052369099,1.0546191592276175,outputs/plots/stats_filter_extra_single_generated_by_channel/hand_stats_ica12_ep5_stats_strict_p35/03_running_candidate263_prompt5875.png
4,237,5849,237,running,1.9041204452514648,1.4896761178970337,0.5801177714078961,0.8604972233375423,0.3539506309554892,0.5143801226857742,1.1639273497569531,outputs/plots/stats_filter_extra_single_generated_by_channel/hand_stats_ica12_ep5_stats_strict_p35/04_running_candidate237_prompt5849.png
20,5,5426,5,walking,0.9643985033035278,0.7384311556816101,0.5587901169584322,1.3086292607769368,0.4727580282068138,0.4092146638713297,1.0300052006358735,outputs/plots/stats_filter_extra_single_generated_by_channel/hand_stats_ica12_ep5_stats_strict_p35/05_walking_candidate5_prompt5426.png
21,158,5579,158,walking,0.7354010939598083,0.5646070241928101,0.5690760338080404,1.5353073134819948,0.554697808516862,0.3549507616543728,1.0260830286977325,outputs/plots/stats_filter_extra_single_generated_by_channel/hand_stats_ica12_ep5_stats_strict_p35/06_walking_candidate158_prompt5579.png
22,179,5600,179,walking,0.722159206867218,0.5541465878486633,0.576801554757641,1.8270985092093408,0.6317854758737725,0.3138220836439196,0.992792654752821,outputs/plots/stats_filter_extra_single_generated_by_channel/hand_stats_ica12_ep5_stats_strict_p35/07_walking_candidate179_prompt5600.png
23,66,5487,66,walking,0.831363320350647,0.660328209400177,0.5831957279695799,1.8290086283429663,0.515088171191248,0.3974103415311081,1.090981614403187,outputs/plots/stats_filter_extra_single_generated_by_channel/hand_stats_ica12_ep5_stats_strict_p35/08_walking_candidate66_prompt5487.png
24,110,5531,110,walking,0.863787055015564,0.6482259631156921,0.5845717332083078,1.755911816068635,0.6078760854599335,0.3581686025113618,0.9907692900989488,outputs/plots/stats_filter_extra_single_generated_by_channel/hand_stats_ica12_ep5_stats_strict_p35/09_walking_candidate110_prompt5531.png
