synthetic_index,candidate_id,prompt_window_id,real_index,activity_name,rmse_to_prompt_real,mae_to_prompt_real,stats_score,max_channel_stats_score,mean_zerr_avg,std_relerr_avg,range_zerr_avg,plot
0,275,5887,275,running,1.5830782651901245,1.3189820051193237,0.253074350447091,0.3688624838599366,0.0810739521653405,0.1285816861010896,0.8460604757025947,outputs/plots/stats_filter_single_generated_by_channel/chest_gyro_stats_ica12_ep10_stats_medium_p50/00_running_candidate275_prompt5887.png
1,259,5871,259,running,1.8641903400421143,1.5582174062728882,0.2623102595413257,0.3565762997072278,0.0273610674178357,0.303832015637396,0.6491651315961652,outputs/plots/stats_filter_single_generated_by_channel/chest_gyro_stats_ica12_ep10_stats_medium_p50/01_running_candidate259_prompt5871.png
2,247,5859,247,running,1.725326657295227,1.4335733652114868,0.2718517767821518,0.3105677706613979,0.1243019570037563,0.2014270726767986,0.7078008245496489,outputs/plots/stats_filter_single_generated_by_channel/chest_gyro_stats_ica12_ep10_stats_medium_p50/02_running_candidate247_prompt5859.png
3,278,5890,278,running,1.6416683197021484,1.3375083208084106,0.2973998465155781,0.4245744119065227,0.0479360127970115,0.1779211928359626,1.0352848213119423,outputs/plots/stats_filter_single_generated_by_channel/chest_gyro_stats_ica12_ep10_stats_medium_p50/03_running_candidate278_prompt5890.png
4,243,5855,243,running,1.7896921634674072,1.45367431640625,0.2984581272904665,0.3948663818186742,0.0532318858744317,0.2208537675960915,0.944119329511286,outputs/plots/stats_filter_single_generated_by_channel/chest_gyro_stats_ica12_ep10_stats_medium_p50/04_running_candidate243_prompt5855.png
57,31,5452,31,walking,0.8036326169967651,0.6140913367271423,0.2071765511171885,0.2903645251449004,0.1499632657572679,0.1899380944531583,0.3560800351650899,outputs/plots/stats_filter_single_generated_by_channel/chest_gyro_stats_ica12_ep10_stats_medium_p50/05_walking_candidate31_prompt5452.png
58,72,5493,72,walking,0.7757407426834106,0.6116234660148621,0.2220038443511572,0.3540758721092168,0.0796510000100658,0.2019108228863893,0.5468955759628757,outputs/plots/stats_filter_single_generated_by_channel/chest_gyro_stats_ica12_ep10_stats_medium_p50/06_walking_candidate72_prompt5493.png
59,26,5447,26,walking,0.713121235370636,0.5428794026374817,0.2343943354509714,0.3197548289347834,0.2536245086176344,0.1180126742956337,0.4286973114283207,outputs/plots/stats_filter_single_generated_by_channel/chest_gyro_stats_ica12_ep10_stats_medium_p50/07_walking_candidate26_prompt5447.png
60,90,5511,90,walking,0.6208815574645996,0.5112956166267395,0.2637437024209003,0.348533950131325,0.0802759782264241,0.2648213999701274,0.6285237557113982,outputs/plots/stats_filter_single_generated_by_channel/chest_gyro_stats_ica12_ep10_stats_medium_p50/08_walking_candidate90_prompt5511.png
61,18,5439,18,walking,0.8271023035049438,0.6521720886230469,0.275300956298649,0.3612800967175028,0.0658536433387908,0.3675775319742948,0.509642430867074,outputs/plots/stats_filter_single_generated_by_channel/chest_gyro_stats_ica12_ep10_stats_medium_p50/09_walking_candidate18_prompt5439.png
