synthetic_index,candidate_id,prompt_window_id,real_index,activity_name,rmse_to_prompt_real,mae_to_prompt_real,stats_score,max_channel_stats_score,mean_zerr_avg,std_relerr_avg,range_zerr_avg,plot
0,267,5879,267,running,1.5955109596252441,1.2657960653305054,0.4221126142488424,0.5134156197197315,0.3173721596877284,0.347164602526087,0.781489546816581,outputs/plots/stats_filter_single_generated_by_channel/hand_stats_ica18_ep10_stats_loose_p70/00_running_candidate267_prompt5879.png
1,284,5896,284,running,2.0381436347961426,1.6197781562805176,0.4397191082018519,0.8699318178992332,0.3356665330740274,0.3145296239439472,0.8982032269733101,outputs/plots/stats_filter_single_generated_by_channel/hand_stats_ica18_ep10_stats_loose_p70/01_running_candidate284_prompt5896.png
2,286,5898,286,running,1.7665737867355347,1.3943777084350586,0.4554354391899363,1.0168131398583673,0.3804160372561642,0.3306434718948027,0.8550581776477476,outputs/plots/stats_filter_single_generated_by_channel/hand_stats_ica18_ep10_stats_loose_p70/02_running_candidate286_prompt5898.png
3,237,5849,237,running,1.6898530721664429,1.3205221891403198,0.4557326528697875,0.8131558744913623,0.3176025632034773,0.3850340623297467,0.8733900132824894,outputs/plots/stats_filter_single_generated_by_channel/hand_stats_ica18_ep10_stats_loose_p70/03_running_candidate237_prompt5849.png
4,296,5908,296,running,1.3627227544784546,1.0631989240646362,0.4572152884552388,0.9781671266609386,0.3447558356250745,0.3162958835419322,0.9639730039421804,outputs/plots/stats_filter_single_generated_by_channel/hand_stats_ica18_ep10_stats_loose_p70/04_running_candidate296_prompt5908.png
75,49,5470,49,walking,1.2148481607437134,0.8927724957466125,0.4595055264592167,1.1549156225807586,0.4814483824391737,0.2736116282244028,0.7874076109689302,outputs/plots/stats_filter_single_generated_by_channel/hand_stats_ica18_ep10_stats_loose_p70/05_walking_candidate49_prompt5470.png
76,135,5556,135,walking,0.9325149655342102,0.6627206206321716,0.4974639779873419,1.5233657028561547,0.5800265745305794,0.2444915813403981,0.8382835781947544,outputs/plots/stats_filter_single_generated_by_channel/hand_stats_ica18_ep10_stats_loose_p70/06_walking_candidate135_prompt5556.png
77,52,5473,52,walking,0.8748973608016968,0.6788858771324158,0.498872089100056,1.5318863780574288,0.6092122280463237,0.2123830910893978,0.8511698072288366,outputs/plots/stats_filter_single_generated_by_channel/hand_stats_ica18_ep10_stats_loose_p70/07_walking_candidate52_prompt5473.png
78,66,5487,66,walking,0.8813475370407104,0.6967208981513977,0.500047612570807,1.9269369894284811,0.6478143220575071,0.2200848240294897,0.7644397706800413,outputs/plots/stats_filter_single_generated_by_channel/hand_stats_ica18_ep10_stats_loose_p70/08_walking_candidate66_prompt5487.png
79,89,5510,89,walking,0.7398468255996704,0.5889531970024109,0.5069933594309273,1.991452631860409,0.6552298659009635,0.1513724894037892,0.9217620865451313,outputs/plots/stats_filter_single_generated_by_channel/hand_stats_ica18_ep10_stats_loose_p70/09_walking_candidate89_prompt5510.png
